num_atoms,num_parts,avg_part_size,num_mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_ratio,forces_error_mse,forces_error_rms,benchmark_time,all_partition_time,avg_partition_time
192,20,192.0,2,0.0,0.0,6.258487701416016e-07,1.0174648679139864e-07,14.703863859176636,4.812461e-07,1.918857596688167e-14,1.3852283586857084e-07,1.646465039253235,0.702572464942932,0.0351286232471466
192,20,192.0,3,0.0,0.0,6.258487701416016e-07,1.025071938443034e-07,22.771532833576202,4.848344e-07,2.0226103235841675e-14,1.4221851074580627e-07,0.07243850231170654,0.7003010272979737,0.035015051364898686
192,20,192.0,4,0.0,0.0,6.258487701416016e-07,1.0401957695194142e-07,31.440380215644836,4.94497e-07,2.0455786383885045e-14,1.4302372619567905e-07,0.0725358247756958,0.7229244470596312,0.03614622235298156
192,20,192.0,5,0.0,0.0,4.76837158203125e-07,9.657373567506511e-08,9.086937457323074,4.6006951e-07,1.822864369215374e-14,1.3501349371836113e-07,0.07357823848724365,0.697708296775818,0.0348854148387909
192,20,192.0,6,0.0,0.0,5.066394805908203e-07,9.82429995133316e-08,18.862825632095337,4.6839673e-07,1.7708812796160198e-14,1.3307446522503596e-07,0.0682650089263916,0.6907890796661377,0.034539453983306885
192,20,192.0,7,0.0,0.0,5.066394805908203e-07,8.873356449612402e-08,11.614982038736343,4.2264415e-07,1.5546100512594738e-14,1.246840071189581e-07,0.06859388351440429,0.6834243774414063,0.034171218872070315
192,20,192.0,8,0.0,0.0,4.172325134277344e-07,9.323431982011243e-08,12.807215750217438,4.43527e-07,1.6214538256986363e-14,1.273363210430034e-07,0.07485404014587402,0.6689890861511231,0.03344945430755615
768,20,425.45,2,0.02392578125,0.0006278026830841554,0.15046310424804688,0.017892951145768166,5855.94482421875,0.08562031,0.0009319306118413806,0.030527537688612938,0.35798790454864504,1.0944308042526245,0.054721540212631224
768,20,714.2,3,0.00048828125,1.2812299132747285e-05,0.020045757293701172,0.0007251531933434308,25.24678409099579,0.0033656778,4.035799065604806e-06,0.0020089298486709595,0.11594269275665284,1.470616364479065,0.07353081822395326
768,20,768.0,4,0.00048828125,1.2812299132747285e-05,7.152557373046875e-07,1.0376649584031838e-07,68.34590435028076,4.905863e-07,2.1179477781491964e-14,1.4553170046838204e-07,0.11573233604431152,1.6539888858795166,0.08269944429397583
768,20,768.0,5,0.0009765625,2.5624595423323626e-05,7.450580596923828e-07,9.931271449659107e-08,14.757677912712097,4.7363855e-07,1.836705565199867e-14,1.3552511290981784e-07,0.11681931018829346,1.5894944667816162,0.07947472333908082
768,20,768.0,6,0.00048828125,1.2812299132747285e-05,5.74474597669905e-07,9.859252259047935e-08,15.934702754020691,4.6637047e-07,1.837558866190931e-14,1.35556589953012e-07,0.1188673734664917,1.6662174940109253,0.08331087470054627
768,20,768.0,7,0.00048828125,1.2812299132747285e-05,6.854534149169922e-07,9.987172688852297e-08,14.862293004989624,4.7172273e-07,1.9211945605896417e-14,1.3860716308045085e-07,0.11833868026733399,1.633553099632263,0.08167765498161314
768,20,768.0,8,0.00048828125,1.2812299132747285e-05,6.258487701416016e-07,1.0155937246736357e-07,16.79505854845047,4.7940017e-07,1.9620501783609162e-14,1.4007319748543523e-07,0.11915025711059571,1.6383864641189574,0.08191932320594787
1536,20,888.4,2,0.02294921875,0.0003010903355971095,0.14385005831718445,0.013716105371713638,347265.13671875,0.065636165,0.0005431724130176008,0.02330605871975422,0.18776369094848633,1.7124657630920412,0.08562328815460206
1536,20,1450.5,3,0.0029296875,3.843706508632749e-05,0.011934995651245117,0.0002925946027971804,3727.8759002685547,0.0013849499,5.854765277035767e-07,0.0007651643827557564,0.20965237617492677,2.561278796195984,0.1280639398097992
1536,20,1536.0,4,0.0029296875,3.843706508632749e-05,6.854534149169922e-07,1.0051047638626187e-07,13.389313220977783,4.7510102e-07,1.9330086373247658e-14,1.3903267870318814e-07,0.18351497650146484,2.8114735126495356,0.14057367563247677
1536,20,1536.0,5,0.0029296875,3.843706508632749e-05,7.748603820800781e-07,9.754599261668773e-08,13.93742561340332,4.6428156e-07,1.8468098212276636e-14,1.3589738045993727e-07,0.1878422975540161,2.76952919960022,0.13847645998001099
1536,20,1536.0,6,0.00244140625,3.203088567715895e-05,7.450580596923828e-07,9.768459108272509e-08,9.721343964338303,4.5993417e-07,1.850115790820797e-14,1.3601896853288054e-07,0.18715896606445312,2.842222881317139,0.14211114406585695
1536,20,1536.0,7,0.00244140625,3.203088567715895e-05,6.556510925292969e-07,1.0077260981233849e-07,10.558635741472244,4.7617303e-07,1.9402707590013453e-14,1.3929360420661396e-07,0.18387062549591066,2.865406346321106,0.1432703173160553
1536,20,1536.0,8,0.0029296875,3.843706508632749e-05,7.152557373046875e-07,9.701481218371555e-08,26.64167582988739,4.5801593e-07,1.8030592142492634e-14,1.3427803935428528e-07,0.1859689712524414,2.7879479646682737,0.13939739823341368
3456,20,1133.85,2,0.119140625,0.0006947033853066387,0.151734858751297,0.011079695075750351,211428.41796875,0.053373847,0.00045601039892062545,0.021354399621486664,0.3467686176300049,1.9600399017333985,0.09800199508666993
