num_atoms,num_parts,avg_part_size,num_mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_ratio,forces_error_mse,forces_error_rms,benchmark_time,all_partition_time,avg_partition_time
192,20,190.25,2,0.00225830078125,0.00023711511403234908,0.10870900750160217,0.006730652414262295,20.972254872322083,0.03328238,0.00023619786952622235,0.015368729829788208,10.044920444488525,0.20221924781799316,0.010110962390899658
192,20,192.0,3,0.0003662109375,3.8451088357760455e-05,0.000665813684463501,0.00011528431059559807,11.778239160776138,0.0005585517,2.2226211982001587e-08,0.0001490845752414316,0.00997018814086914,0.1886885166168213,0.009434425830841064
192,20,192.0,4,0.0001220703125,1.2817031347367447e-05,0.00044420361518859863,0.00010003490751842037,2.4219032377004623,0.00048178958,1.6614261966196864e-08,0.00012889632489532232,0.009953737258911133,0.1892082691192627,0.009460413455963134
192,20,192.0,5,6.103515625e-05,6.408514963140988e-06,0.0005588829517364502,0.00010536460467847064,2.2040758281946182,0.0005071017,1.796504278672728e-08,0.00013403373304754496,0.009941816329956055,0.18912124633789062,0.009456062316894531
192,20,192.0,6,0.0,0.0,0.0005534039810299873,0.00010548142017796636,1.1338052339851856,0.0005109073,1.8587940076031373e-08,0.0001363375922665,0.010105371475219727,0.18902325630187988,0.009451162815093995
192,20,192.0,7,0.0001220703125,1.2817031347367447e-05,0.0006164610385894775,0.00010550802107900381,2.868686057627201,0.000512931,1.8317845018600565e-08,0.00013534343452192843,0.009906291961669922,0.1890242099761963,0.009451210498809814
192,20,192.0,8,6.103515625e-05,6.408513542055516e-06,0.0005799531936645508,0.00010578203364275396,14.118419587612152,0.00051561237,1.8572880122746938e-08,0.00013628235319629312,0.009922266006469727,0.18882131576538086,0.009441065788269042
768,20,275.3,2,0.653076171875,0.01714278041617945,0.20277321338653564,0.025912318378686905,70.04891633987427,0.12654121,0.0018566929502412677,0.043089359998703,0.2756822109222412,0.2511742115020752,0.01255871057510376
768,20,473.0,3,0.0390625,0.0010253625077893957,0.05235472321510315,0.005112826358526945,10.637090355157852,0.024834663,8.45524191390723e-05,0.009195239283144474,0.011963367462158203,0.237990140914917,0.01189950704574585
768,20,652.25,4,0.0078125,0.0002050725242952467,0.009209990501403809,0.0006836268585175276,6.644634902477264,0.0032712296,1.6111956711029052e-06,0.001269328873604536,0.012130498886108398,0.22735834121704102,0.01136791706085205
768,20,748.1,5,0.000732421875,1.9225551284307585e-05,0.0006773471832275391,0.00010819179442478344,3.711295500397682,0.0005235412,1.984951580880079e-08,0.00014088831085246056,0.0119781494140625,0.4460585117340088,0.02230292558670044
768,20,768.0,6,0.000244140625,6.4085156736837234e-06,0.0006994903087615967,0.00010532737360335886,3.9637908339500427,0.00050868624,1.8664495726739005e-08,0.00013661806588061154,0.0123748779296875,0.23557043075561523,0.011778521537780761
