method,core_n,n
metis,12952,26234
metis,12739,25328
metis,13072,26219
metis,12867,26426
metis,13306,26057
metis,13144,25684
metis,13423,26185
metis,13473,26841
grid,13127,42947
grid,13118,42937
grid,13123,42943
grid,13122,42939
grid,13128,42963
grid,13121,42935
grid,13122,42942
grid,13115,42915
metis_unweighted,13255,26713
metis_unweighted,13467,26706
metis_unweighted,13387,26038
metis_unweighted,13237,26048
metis_unweighted,13160,26306
metis_unweighted,12758,25854
metis_unweighted,12879,26059
metis_unweighted,12833,25971
metis,15112,52160
metis,15076,52916
metis,14668,52704
metis,14334,51155
metis,15130,52138
metis,14359,52061
metis,14474,52417
metis,14972,53470
grid,14829,60453
grid,14676,59733
grid,14796,60146
grid,14650,59824
grid,14931,61124
grid,14739,59713
grid,14844,60330
grid,14660,59504
metis_unweighted,15160,54109
metis_unweighted,14585,50471
metis_unweighted,14536,51092
metis_unweighted,14847,51606
metis_unweighted,14968,52950
metis_unweighted,14610,51799
metis_unweighted,14587,51849
metis_unweighted,14832,52341
metis,14933,33056
metis,14994,33281
metis,15431,34018
metis,15346,33175
metis,14760,34163
metis,14831,33721
metis,15562,33563
metis,15643,33741
grid,15458,47181
grid,15322,46410
grid,15262,46503
grid,15158,46021
grid,15157,46000
grid,15038,45352
grid,15098,45826
grid,15007,45431
metis_unweighted,15143,32839
metis_unweighted,15241,33371
metis_unweighted,15144,33576
metis_unweighted,15493,33561
metis_unweighted,14744,35108
metis_unweighted,14744,34435
metis_unweighted,15348,33624
metis_unweighted,15643,33789
metis,13188,30506
metis,13181,31751
metis,13183,31205
metis,13181,31408
metis,13177,30220
metis,13180,29625
metis,13178,29243
metis,13188,30100
grid,13971,33175
grid,13972,33232
grid,13459,32065
grid,13354,31880
grid,12939,31105
grid,12938,31136
grid,12463,30221
grid,12360,29988
metis_unweighted,13183,30745
metis_unweighted,13181,30517
metis_unweighted,13181,29618
metis_unweighted,13187,29867
metis_unweighted,13187,29259
metis_unweighted,13187,29831
metis_unweighted,13170,30392
metis_unweighted,13180,30118
metis,16090,28195
metis,15872,27939
metis,15796,27899
metis,16192,28295
metis,16130,28214
metis,16314,28417
metis,15739,27805
metis,15739,27860
grid,16080,51214
grid,16014,51033
grid,16008,50915
grid,15942,50734
grid,16032,50968
grid,15954,50721
grid,15960,50669
grid,15882,50422
metis_unweighted,15643,27759
metis_unweighted,16304,28333
metis_unweighted,16215,28256
metis_unweighted,16219,28275
metis_unweighted,15736,27847
metis_unweighted,15787,27769
metis_unweighted,16006,28074
metis_unweighted,15962,27965
metis,13740,35621
metis,13802,35739
metis,14033,35054
metis,14086,35777
metis,14299,35631
metis,13626,34929
metis,14097,35767
metis,14317,36598
grid,14103,39118
grid,13920,38758
grid,14123,39164
grid,13939,38768
grid,14037,39006
grid,13946,38775
grid,14068,39099
grid,13864,38692
metis_unweighted,13781,34996
metis_unweighted,14279,35886
metis_unweighted,14059,35231
metis_unweighted,13798,35118
metis_unweighted,13993,35586
metis_unweighted,13880,35128
metis_unweighted,14288,36368
metis_unweighted,13922,35162
metis,14507,42962
metis,13985,41233
metis,14043,40469
metis,14533,41407
metis,14675,42600
metis,14725,42815
metis,13987,41281
metis,14793,42448
grid,14525,58064
grid,14518,58059
grid,14392,57880
grid,14385,57816
grid,14427,57887
grid,14420,57882
grid,14294,57700
grid,14287,57636
metis_unweighted,14189,41447
metis_unweighted,14838,43481
metis_unweighted,14748,41725
metis_unweighted,14077,40709
metis_unweighted,14838,42602
metis_unweighted,14021,40588
metis_unweighted,14498,42715
metis_unweighted,14039,40413
metis,15435,34459
metis,15258,34375
metis,15138,34324
metis,15456,34209
metis,15287,34487
metis,15174,34390
metis,15624,35112
metis,15660,34675
grid,15450,43277
grid,15366,42931
grid,15438,42664
grid,15366,42722
grid,15425,42991
grid,15327,42599
grid,15372,42930
grid,15288,42887
metis_unweighted,14996,34408
metis_unweighted,15215,34373
metis_unweighted,15567,34878
metis_unweighted,15577,35114
metis_unweighted,15131,34524
metis_unweighted,15725,34540
metis_unweighted,15316,34563
metis_unweighted,15505,34575
metis,12288,35776
metis,12974,37693
metis,12543,35843
metis,12691,36385
metis,12778,36290
metis,12552,36433
metis,12396,36170
metis,13028,37741
grid,13062,50342
grid,12813,49489
grid,12828,49350
grid,12597,48614
grid,12708,49057
grid,12492,48966
grid,12477,48277
grid,12273,48126
metis_unweighted,12857,37554
metis_unweighted,12403,35554
metis_unweighted,12735,36426
metis_unweighted,12656,36743
metis_unweighted,12660,36679
metis_unweighted,12531,36045
metis_unweighted,12724,36713
metis_unweighted,12684,36091
metis,13921,41261
metis,13802,40649
metis,13844,40771
metis,13708,40289
metis,13630,41005
metis,14238,41615
metis,13506,40002
metis,14159,41426
grid,13860,52548
grid,13844,52548
grid,13851,52550
grid,13852,52553
grid,13854,52548
grid,13850,52548
grid,13848,52543
grid,13849,52548
metis_unweighted,14059,41798
metis_unweighted,14035,40947
metis_unweighted,13984,40364
metis_unweighted,13578,40527
metis_unweighted,13644,41201
metis_unweighted,13622,40497
metis_unweighted,14212,42128
metis_unweighted,13674,40151
