method,core_n,n
metis,2054,12524
metis,1943,12041
metis,1938,13724
metis,1938,13624
metis,2056,12171
metis,1952,12044
metis,2056,12500
metis,2035,12682
spectral,1998,12164
spectral,2002,12056
spectral,1998,12143
spectral,1994,12048
spectral,2007,12126
spectral,2000,12157
spectral,1983,12137
spectral,1990,12170
grid,2069,15119
grid,2014,14700
grid,2056,14966
grid,1968,14918
grid,2001,14826
grid,1968,14799
grid,1981,14801
grid,1915,14791
metis_unweighted,2056,12335
metis_unweighted,2056,12383
metis_unweighted,2053,12527
metis_unweighted,1967,12573
metis_unweighted,1989,12396
metis_unweighted,1938,12126
metis_unweighted,1939,13687
metis_unweighted,1974,13965
metis,2072,10149
metis,2175,10016
metis,2175,9983
metis,2054,9790
metis,2111,10040
metis,2053,9845
metis,2167,10060
metis,2089,9982
spectral,2120,10976
spectral,2120,10976
spectral,2120,10976
spectral,2104,10568
spectral,2120,10976
spectral,2104,10568
spectral,2104,10568
spectral,2104,10568
grid,2125,13778
grid,2121,13706
grid,2118,13757
grid,2114,13716
grid,2110,13767
grid,2093,13684
grid,2117,13783
grid,2098,13706
metis_unweighted,2174,10080
metis_unweighted,2150,10147
metis_unweighted,2107,9811
metis_unweighted,2073,9957
metis_unweighted,2165,9847
metis_unweighted,2086,10015
metis_unweighted,2050,9882
metis_unweighted,2091,9945
metis,2715,7863
metis,2753,7845
metis,2724,8099
metis,2675,7878
metis,2792,8338
metis,2712,8203
metis,2836,7884
metis,2825,7862
grid,2765,15546
grid,2763,15459
grid,2749,15519
grid,2750,15459
grid,2754,15519
grid,2755,15459
grid,2751,15459
grid,2745,15459
metis_unweighted,2769,7882
metis_unweighted,2703,8171
metis_unweighted,2763,7881
metis_unweighted,2673,8076
metis_unweighted,2836,7884
metis_unweighted,2777,8241
metis_unweighted,2701,8089
metis_unweighted,2810,7876
metis,2024,8862
metis,2031,8622
metis,1942,8951
metis,2014,9068
metis,1914,9106
metis,1917,8985
metis,2022,9080
metis,1914,9111
spectral,1988,9261
spectral,1967,8995
spectral,2051,9541
spectral,1953,9163
spectral,1946,9359
spectral,1939,9149
spectral,1967,9387
spectral,1967,9058
grid,2041,12863
grid,1984,12728
grid,1998,12775
grid,1915,12592
grid,1970,12522
grid,1957,12678
grid,1978,12705
grid,1935,12762
metis_unweighted,1914,8755
metis_unweighted,2023,8986
metis_unweighted,2008,8894
metis_unweighted,1947,8790
metis_unweighted,1916,8823
metis_unweighted,2019,9016
metis_unweighted,2000,8641
metis_unweighted,1951,8757
metis,1946,10661
metis,2040,10994
metis,2027,11318
metis,1968,11263
metis,2053,10799
metis,2009,11005
metis,2039,11489
metis,1956,10699
spectral,2214,10845
spectral,2286,10863
spectral,2214,10845
spectral,1809,9954
spectral,1908,10548
spectral,1845,10188
spectral,1944,10206
spectral,1818,10161
grid,2023,14136
grid,1988,13740
grid,2008,14039
grid,2002,14043
grid,2015,14117
grid,2003,14021
grid,1991,13777
grid,2008,14122
metis_unweighted,1946,12581
metis_unweighted,2064,12267
metis_unweighted,1983,10935
metis_unweighted,2064,10994
metis_unweighted,1948,10551
metis_unweighted,2022,10786
metis_unweighted,1947,11268
metis_unweighted,2064,11482
metis,2153,9492
metis,2252,9198
metis,2154,9784
metis,2148,8989
metis,2223,9189
metis,2251,9767
metis,2192,9244
metis,2123,9125
spectral,1953,8289
spectral,2016,8496
spectral,2448,9171
spectral,2088,8703
spectral,2034,8496
spectral,2439,9171
spectral,2466,9306
spectral,2052,8424
grid,2248,12447
grid,2198,12219
grid,2207,12411
grid,2176,12339
grid,2216,12416
grid,2167,12312
grid,2158,12147
grid,2126,12122
metis_unweighted,2173,9228
metis_unweighted,2123,9027
metis_unweighted,2229,10099
metis_unweighted,2173,9131
metis_unweighted,2138,9248
metis_unweighted,2217,9497
metis_unweighted,2201,9804
metis_unweighted,2242,9463
metis,2529,11992
metis,2447,11859
metis,2484,11913
