method,core_n,n
grid,12742,53622
grid,12758,54068
grid,12740,53622
metis_unweighted,12630,27354
metis_unweighted,12721,27443
metis_unweighted,12863,26888
metis_unweighted,13004,27566
metis_unweighted,12378,27077
metis_unweighted,13017,28183
metis_unweighted,12832,27096
metis_unweighted,12555,27405
metis,12934,34797
metis,12928,34021
metis,12264,33321
metis,12959,34157
metis,12559,34042
metis,12765,34156
metis,12265,33328
metis,12388,33744
grid,12860,50952
grid,12666,50541
grid,12698,50529
grid,12476,49834
grid,12698,50231
grid,12580,50261
grid,12613,50514
grid,12471,50290
metis_unweighted,12915,34387
metis_unweighted,12332,34121
metis_unweighted,12961,33794
metis_unweighted,13012,34543
metis_unweighted,12275,33375
metis_unweighted,13012,34796
metis_unweighted,12291,33343
metis_unweighted,12264,33476
metis,13916,42458
metis,13910,40423
metis,13836,42024
metis,13916,41039
metis,13139,39729
metis,13119,39425
metis,13132,40523
metis,13118,40836
grid,13553,50438
grid,13467,49822
grid,13532,50311
grid,13496,50371
grid,13535,50540
grid,13499,50272
grid,13501,49929
grid,13503,50406
metis_unweighted,13219,39839
metis_unweighted,13122,39527
metis_unweighted,13416,41100
metis_unweighted,13915,41092
metis_unweighted,13418,41560
metis_unweighted,13684,41427
metis_unweighted,13396,39176
metis_unweighted,13916,41061
metis,14310,36780
metis,14885,36617
metis,14388,36582
metis,14773,36275
metis,15121,37127
metis,15109,37462
metis,14435,36144
metis,14891,38044
grid,14820,46290
grid,14658,44445
grid,14820,46228
grid,14675,44566
grid,14819,45918
grid,14676,44721
grid,14786,45840
grid,14658,44680
metis_unweighted,14973,37246
metis_unweighted,14971,36486
metis_unweighted,14994,36419
metis_unweighted,14987,36715
metis_unweighted,14386,35465
metis_unweighted,14406,36541
metis_unweighted,14529,36868
metis_unweighted,14666,36079
metis,14652,42199
metis,14736,42349
metis,14725,41763
metis,14677,41306
metis,14331,40991
metis,14833,42014
metis,14309,40460
metis,14377,40770
grid,14622,50784
grid,14606,50763
grid,14624,50784
grid,14602,50761
grid,14556,50646
grid,14538,50600
grid,14554,50646
grid,14538,50589
metis_unweighted,14743,42864
metis_unweighted,14252,41815
metis_unweighted,14475,41584
metis_unweighted,14758,41433
