method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,623745,221616,0.6447009595267297,268244,0.0,0.0,27994,27062,27702.0,381.67263459671824,292.0,79314,76252,77968.125,827.5459862599782,1345.875
grid,694956,221616,0.6811078686996012,320207,0.0,0.0,27831,27574,27702.0,90.90929545431534,129.0,87064,86629,86869.5,195.85517608682187,194.5
metis_unweighted,625113,221616,0.6454784974876542,269208,0.0,0.0,28263,27149,27702.0,373.0934869439562,561.0,80254,76636,78139.125,1354.0689086508855,2114.875
metis,521548,233280,0.552716145014457,237347,0.0,0.0,29565,28808,29160.0,311.9591319387846,405.0,66414,64246,65193.5,721.3106127044022,1220.5
grid,706282,233280,0.6697070008863315,352116,0.0,0.0,29358,28980,29160.0,118.033893437436,198.0,88679,87896,88285.25,259.6005344755669,393.75
metis_unweighted,522108,233280,0.5531958905054126,237212,0.0,0.0,29749,28736,29160.0,319.59974968701084,589.0,66187,64038,65263.5,659.9880680739615,923.5
metis,438903,210912,0.5194564630453654,105176,0.0,0.0,26781,25779,26364.0,371.1239685064817,417.0,56206,53737,54862.875,849.6830934972168,1343.125
grid,616135,210912,0.6576854098533601,175903,0.0,0.0,26676,26104,26364.0,189.95130955063195,312.0,77765,76305,77016.875,603.499676366939,748.125
metis_unweighted,440384,210912,0.5210725185292835,105314,0.0,0.0,27079,25727,26364.0,542.769748604323,715.0,57248,54000,55048.0,945.8038908780192,2200.0
metis,491620,216000,0.5606362637809691,167314,0.0,0.0,27779,26257,27000.0,626.3990341627292,779.0,62301,59663,61452.5,820.0765208198562,848.5
grid,594228,216000,0.6365031604030776,227467,0.0,0.0,27360,26685,27000.0,195.28824849437305,360.0,75125,73670,74278.5,522.0579469752377,846.5
metis_unweighted,492946,216000,0.5618181301805877,168391,0.0,0.0,27787,26328,27000.0,480.47268392698453,787.0,62496,60786,61618.25,570.9804615746497,877.75
metis,448475,216513,0.5172239255253916,115559,0.0,0.0,27651,26579,27064.125,303.9804424218769,586.875,56977,55439,56059.375,568.2153943488332,917.625
grid,649199,216513,0.6664920925632972,199736,0.0,0.0,27436,26702,27064.125,291.31659646336664,371.875,81970,80393,81149.875,540.1172181804612,820.125
metis_unweighted,449243,216513,0.5180492517412625,116316,0.0,0.0,27448,26495,27064.125,398.7770171098129,383.875,57071,55153,56155.375,535.603616842717,915.625
metis,561078,246000,0.5615582860137093,303696,0.0,0.0,31614,29852,30750.0,659.1270742428959,864.0,71905,69010,70134.75,973.5782903803885,1770.25
grid,802623,246000,0.69350492074112,481130,0.0,0.0,30755,30748,30750.0,2.692582403567252,5.0,100352,100272,100327.875,22.234193823928045,24.125
metis_unweighted,558142,246000,0.5592519466372357,300368,0.0,0.0,31653,29852,30750.0,732.7185680737182,903.0,71993,68171,69767.75,1360.3847571551219,2225.25
metis,597081,214375,0.6409616115736391,220218,0.0,0.0,27323,26271,26796.875,520.155130105433,526.125,76751,72934,74635.125,1333.1900124794665,2115.875
grid,618599,214375,0.6534507815240568,217148,0.0,0.0,29160,24565,26796.875,1326.6427022280716,2363.125,82184,72657,77324.875,2750.4013996824174,4859.125
metis_unweighted,590923,214375,0.6372200777427854,223877,0.0,0.0,26806,26784,26796.875,6.41165930161608,9.125,75357,72386,73865.375,1296.9066984077922,1491.625
metis,691892,218750,0.6838379400253218,414741,0.0,0.0,27654,27051,27343.75,201.30930803119858,310.25,87930,85002,86486.5,960.2633753299144,1443.5
grid,771156,218750,0.7163349568699459,531631,0.0,0.0,27517,27175,27343.75,112.25389748244824,173.25,97157,96032,96394.5,372.47617373464306,762.5
metis_unweighted,695114,218750,0.6853034178566394,418352,0.0,0.0,27719,27156,27343.75,154.83035070683007,375.25,87990,85671,86889.25,819.895686962677,1100.75
metis,630213,209952,0.6668554917147059,471989,0.0,0.0,26813,25649,26244.0,346.4224299897453,569.0,79535,77021,78776.625,770.7303253246235,758.375
grid,769240,209952,0.7270656752118975,583040,0.0,0.0,26568,25920,26244.0,198.40866916543743,324.0,96769,95541,96155.0,479.8525815289525,614.0
metis_unweighted,629659,209952,0.6665623774138065,470724,0.0,0.0,27016,25479,26244.0,520.2235096571472,772.0,80435,77426,78707.375,1012.6604733942172,1727.625
metis,477898,218750,0.5422663413531758,117590,0.0,0.0,28063,26546,27343.75,467.6536512206443,719.25,62163,58210,59737.25,1284.4030471390201,2425.75
grid,586763,218750,0.6271918986030135,207682,0.0,0.0,27396,27292,27343.75,33.614542983655156,52.25,73648,73096,73345.375,180.32812973854078,302.625
metis_unweighted,478396,218750,0.542742832297929,118006,0.0,0.0,28121,26576,27343.75,583.459028124512,777.25,62297,57480,59799.5,1838.6272052811576,2497.5
