method,core_n,n
metis,1992,7504
metis,2025,6986
metis,2074,6761
metis,2106,6787
metis,1999,7498
metis,2017,7765
metis,2090,6957
metis,2113,6554
spectral,1410,6096
spectral,2340,5868
spectral,2088,5868
spectral,2232,5952
spectral,2184,5934
spectral,2412,6012
spectral,1410,6054
spectral,2340,5868
grid,2058,11164
grid,2051,11128
grid,2052,11143
grid,2049,11120
grid,2055,11143
grid,2048,11120
grid,2057,11195
grid,2046,11120
metis_unweighted,1995,7426
metis_unweighted,1993,7780
metis_unweighted,2097,6502
metis_unweighted,1993,6434
metis_unweighted,2113,6101
metis_unweighted,2075,5937
metis_unweighted,2101,6209
metis_unweighted,2049,6179
metis,1878,6813
metis,1879,6659
metis,1820,7143
metis,1858,7171
metis,1896,5929
metis,1931,6076
metis,1861,7416
metis,1877,7533
spectral,2000,5800
spectral,2060,5860
spectral,2275,6250
spectral,2090,5925
spectral,2000,5800
spectral,2000,5850
spectral,1215,5980
spectral,1360,6090
grid,1888,10674
grid,1885,10690
grid,1898,10657
grid,1880,10628
grid,1862,10654
grid,1856,10679
grid,1872,10692
grid,1859,10705
metis_unweighted,1911,6380
metis_unweighted,1912,6528
metis_unweighted,1820,7321
metis_unweighted,1820,7029
metis_unweighted,1931,6059
metis_unweighted,1901,6030
metis_unweighted,1829,6788
metis_unweighted,1876,6427
metis,2281,9193
metis,2237,9110
metis,2192,9074
metis,2212,9037
metis,2275,9239
metis,2242,9149
metis,2255,9131
metis,2306,9324
spectral,2280,9510
spectral,2240,9210
spectral,2280,9510
spectral,2280,9540
spectral,2200,9170
spectral,2240,9210
spectral,2200,9170
spectral,2280,9540
grid,2262,12437
grid,2252,12426
grid,2240,12376
grid,2247,12426
grid,2268,12490
grid,2250,12421
grid,2236,12353
grid,2245,12424
metis_unweighted,2188,9292
metis_unweighted,2314,9455
metis_unweighted,2247,9355
metis_unweighted,2317,9337
metis_unweighted,2317,9407
metis_unweighted,2213,9245
metis_unweighted,2220,9288
metis_unweighted,2184,9202
metis,2240,11850
metis,2314,11913
metis,2269,11685
metis,2306,12583
metis,2211,11517
metis,2346,11998
metis,2289,11924
metis,2250,11716
spectral,2267,11466
spectral,2282,11375
spectral,2281,11330
spectral,2271,11452
spectral,2294,11490
spectral,2278,11477
spectral,2280,11524
spectral,2272,11451
grid,2300,12906
grid,2276,12651
grid,2300,12730
grid,2279,12400
grid,2268,12564
grid,2251,12456
grid,2285,12674
grid,2266,12465
metis_unweighted,2212,11808
metis_unweighted,2252,11263
metis_unweighted,2322,11729
metis_unweighted,2337,11950
metis_unweighted,2295,11814
metis_unweighted,2225,12070
metis_unweighted,2280,11555
metis_unweighted,2302,11696
metis,2105,10464
metis,2189,10577
metis,2222,10782
metis,2107,10722
metis,2211,11001
metis,2111,10778
metis,2111,10727
metis,2224,10927
spectral,2148,10470
spectral,2181,10422
spectral,2181,10480
spectral,2147,10413
spectral,2160,10463
spectral,2164,10461
spectral,2138,10374
spectral,2161,10519
grid,2178,13304
grid,2164,13275
grid,2145,13256
grid,2160,13275
grid,2176,13292
grid,2155,13275
grid,2143,13256
