method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,112508,59778,0.46867778291321505,32049,48776723,21.844175447201927,7696,7254,7472.25,177.4244557551185,223.75,14208,13893,14063.5,117.5712549903249,144.5
grid,237527,59778,0.7483317685989382,75060,116002621,50.32423343389701,7519,7431,7472.25,32.89281836510821,46.75,29805,29531,29690.875,87.43774571087707,114.125
metis_unweighted,111431,59778,0.4635424612540496,31062,47492677,21.085435923038997,7696,7254,7472.25,179.46848609156984,223.75,14280,13672,13928.875,175.9946288242911,351.125
metis,157746,55296,0.6494617930090145,48579,67022276,36.31392329659898,7119,6710,6912.0,173.65195075207188,207.0,20438,19332,19718.25,333.51602285347553,719.75
grid,202531,55296,0.726975129733226,65717,92689478,48.15795717895233,7071,6720,6912.0,118.05401306181845,159.0,25740,24900,25316.375,369.93139144306207,423.625
metis_unweighted,159502,55296,0.6533209614926458,49298,68632337,36.53657708079174,7037,6715,6912.0,105.12968182202398,125.0,20409,19326,19937.75,336.85855711262553,471.25
metis,185328,60750,0.6722027972027972,52535,123972879,22.975428990243127,7821,7372,7593.75,173.92365422793992,227.25,23710,22364,23166.0,416.33340005337067,544.0
grid,205697,60750,0.7046626834615964,67527,160507351,29.611380680196625,7878,7317,7593.75,186.6746836076065,284.25,26942,24684,25712.125,704.4475561565956,1229.875
metis_unweighted,185850,60750,0.6731234866828087,52396,123960744,22.844808622833973,7746,7454,7593.75,92.09336295303804,152.25,23574,22994,23231.25,219.01127254093566,342.75
metis,186637,60750,0.6745018404710749,45670,144345448,15.215023862952782,7816,7434,7593.75,123.29208206531351,222.25,23616,22888,23329.625,265.8429693917069,286.375
grid,216482,60750,0.7193762067977938,69988,230095899,22.28336915188534,7774,7443,7593.75,96.64205864943068,180.25,27452,26797,27060.25,228.79780921153943,391.75
metis_unweighted,182546,60750,0.6672071696996922,44339,141302765,14.591444624401715,7763,7404,7593.75,149.7061705475095,169.25,23496,22076,22818.25,495.64244925147403,677.75
metis,152261,55296,0.6368341203591202,41366,73233282,24.601097006953587,7119,6731,6912.0,163.56726445105085,207.0,19600,18520,19032.625,347.1242347848966,567.375
grid,217446,55296,0.7457023812808697,71846,125014366,43.442950825822194,7032,6780,6912.0,74.45804187594514,120.0,27365,26964,27180.75,135.4637866737823,184.25
metis_unweighted,154281,55296,0.6415890485542614,41937,74899554,24.712101342396693,7114,6725,6912.0,137.22244714331543,202.0,19765,18778,19285.125,322.9312765512192,479.875
metis,225261,69984,0.6893203883495146,64119,104302657,41.21302057486427,9010,8500,8748.0,168.5637861463725,262.0,28755,27272,28157.625,467.7552611943558,597.375
grid,221985,69984,0.6847354550983175,77297,123997050,50.442853334344754,8975,8530,8748.0,132.8645927250748,227.0,27889,27546,27748.125,116.76304798608163,140.875
metis_unweighted,222979,69984,0.6861408473443688,62421,101980188,39.92616787644417,8839,8642,8748.0,59.6992462263972,91.0,28415,27256,27872.375,325.0068989652373,542.625
metis,190107,52728,0.7226404077703609,52011,74403343,37.939961808863046,6789,6409,6591.0,126.42092390106947,198.0,24498,23094,23763.375,445.5934070147358,734.625
grid,197588,52728,0.7331416887665243,53586,76665355,38.9889436111335,6605,6571,6591.0,8.760707733967616,14.0,24782,24655,24698.5,37.406550228536176,83.5
metis_unweighted,190813,52728,0.7236666264877131,51244,73524820,37.24610684498938,6615,6569,6591.0,14.106735979665885,24.0,24102,23600,23851.625,169.86313424342552,250.375
metis,208957,55296,0.7353713922003091,47868,56687592,41.914571797694805,7119,6710,6912.0,173.9116154832678,207.0,26582,25535,26119.625,313.4381667490416,462.375
grid,209268,55296,0.7357646654051264,49512,61542048,41.82311635215444,7812,6084,6912.0,499.26345750515327,900.0,28927,23543,26158.5,1555.2046489128047,2768.5
metis_unweighted,191432,55296,0.7111454720213967,48975,59301486,42.139982994209994,7119,6710,6912.0,131.91095481422306,207.0,26337,23081,23929.0,1035.0403373782106,2408.0
metis,198304,50112,0.7472970792318864,54269,78101431,39.58674749366218,6452,6081,6264.0,117.4851054389449,188.0,25361,24286,24788.0,380.00263156983533,573.0
grid,226843,50112,0.7790895024311969,70993,104242844,50.74408520136143,6763,5883,6264.0,264.58883196386046,499.0,29722,27549,28355.375,669.6274967285916,1366.625
metis_unweighted,194171,50112,0.7419182061172883,53253,77286070,38.529627877079164,6374,6084,6264.0,84.49556201363478,110.0,24762,23724,24271.375,354.3395043951493,490.625
metis,148966,54880,0.6315937865016178,43562,151757257,12.836413824515521,7066,6684,6860.0,140.2025320741391,206.0,19460,17961,18620.75,479.4172895296956,839.25
grid,199157,54880,0.7244385083125373,56294,196537539,16.45579077637555,6918,6802,6860.0,49.671420354163416,58.0,25221,24561,24894.625,293.6451674640671,326.375
metis_unweighted,149852,54880,0.6337719883618503,44933,158719203,13.115889419677703,7050,6678,6860.0,115.25948984790797,190.0,19197,18550,18731.5,191.44907939188425,465.5
