method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,180234,60000,0.6670994373980492,53184,0.0,0.0,7720,7300,7500.0,161.12495151279333,220.0,23178,22020,22529.25,380.6326148663564,648.75
grid,265182,60000,0.7737402991153246,98634,0.0,0.0,7570,7420,7500.0,53.38539126015655,70.0,33223,33028,33147.75,71.93877605297438,75.25
metis_unweighted,178014,60000,0.6629478580336378,52430,0.0,0.0,7725,7281,7500.0,136.48626304504054,225.0,22543,21944,22251.75,194.22393647539946,291.25
metis,174289,57344,0.6709832519550861,84876,0.0,0.0,7383,7016,7168.0,136.2433484614937,215.0,21975,21477,21786.125,157.4598659182714,188.875
grid,296233,57344,0.8064226470379735,165343,0.0,0.0,7256,7088,7168.0,65.72670690061993,88.0,37395,36648,37029.125,356.89789768924106,365.875
metis_unweighted,172869,57344,0.6682806055452395,84123,0.0,0.0,7375,7024,7168.0,106.52229813517918,207.0,21994,21142,21608.625,316.46442829329175,385.375
metis,142043,60368,0.5750019360334546,103093,0.0,0.0,7731,7325,7546.0,111.86375641824299,185.0,18016,17457,17755.375,178.37876660353945,260.625
grid,313624,60368,0.8075147310154835,308477,0.0,0.0,7679,7385,7546.0,86.58521813797087,133.0,39543,38836,39203.0,340.1812017146156,340.0
metis_unweighted,141823,60368,0.5743426665632514,102813,0.0,0.0,7651,7420,7546.0,73.66817494685205,105.0,17878,17514,17727.875,125.1862986712204,150.125
metis,127209,53760,0.5773883923307314,60339,0.0,0.0,6892,6590,6720.0,92.67146270562476,172.0,16236,15690,15901.125,169.06022410667745,334.875
grid,253304,53760,0.7877648990935793,109248,0.0,0.0,6768,6672,6720.0,27.712812921102035,48.0,31795,31531,31663.0,111.90397669430698,132.0
metis_unweighted,128629,53760,0.5820538136812072,61867,0.0,0.0,6921,6524,6720.0,152.5712948100002,201.0,16225,15933,16078.625,110.55421464150518,146.375
metis,125139,50625,0.5954498597559513,35615,0.0,0.0,6518,6143,6328.125,132.36071688760228,189.875,15925,15171,15642.375,250.7124535698217,282.625
grid,191919,50625,0.7362168414799993,65197,0.0,0.0,6417,6226,6328.125,55.87136453497445,88.875,24124,23726,23989.875,154.57476952918287,134.125
metis_unweighted,124476,50625,0.5932950930299817,35217,0.0,0.0,6518,6167,6328.125,124.31958564522326,189.875,15806,15296,15559.5,208.3110654766088,246.5
metis,147500,60000,0.5932203389830508,43781,0.0,0.0,7724,7281,7500.0,162.49538454983883,224.0,18759,17907,18437.5,239.12392184806606,321.5
grid,229446,60000,0.7385005622237912,90774,0.0,0.0,7560,7430,7500.0,38.72983346207417,60.0,28751,28576,28680.75,65.10136327297609,70.25
metis_unweighted,146828,60000,0.5913585964529926,43179,0.0,0.0,7725,7281,7500.0,147.51525344858408,225.0,18622,17892,18353.5,221.05203007436958,268.5
metis,165003,58320,0.6465518808748932,28621,0.0,0.0,7508,7153,7290.0,126.81088281373961,218.0,21081,20096,20625.375,342.1355497094682,455.625
grid,163793,58320,0.6439408277521017,43387,0.0,0.0,7402,7192,7290.0,90.85978208206313,112.0,20730,20361,20474.125,117.17448261033628,255.875
metis_unweighted,165409,58320,0.6474194269961127,28490,0.0,0.0,7306,7273,7290.0,10.161200716450788,16.0,21387,20057,20676.125,401.94354003392067,710.875
metis,184779,55566,0.6992840095465394,76033,0.0,0.0,7154,6743,6945.75,150.99648174709236,208.25,23868,22446,23097.375,507.26791183259365,770.625
grid,268305,55566,0.7928998714149942,108769,0.0,0.0,6981,6919,6945.75,20.370014727535178,35.25,34081,33211,33538.125,320.7625435972848,542.875
metis_unweighted,188588,55566,0.7053577109890343,78749,0.0,0.0,7146,6743,6945.75,132.95934529020516,200.25,23925,23142,23573.5,287.44086348325635,351.5
metis,143963,58368,0.5945624917513528,95967,0.0,0.0,7515,7084,7296.0,170.38045662575271,219.0,18275,17753,17995.375,180.04508983862902,279.625
grid,287216,58368,0.7967801236699905,158807,0.0,0.0,7300,7290,7296.0,3.7080992435478315,4.0,35902,35902,35902.0,0.0,0.0
metis_unweighted,143210,58368,0.5924306961804343,96537,0.0,0.0,7515,7089,7296.0,163.69789247268884,219.0,18409,17304,17901.25,336.073931598391,507.75
metis,203513,62208,0.6943291091969555,89776,0.0,0.0,7967,7550,7776.0,136.2882973699503,191.0,25814,25032,25439.125,239.14296848329036,374.875
grid,277826,62208,0.7760900707637154,123618,0.0,0.0,7956,7596,7776.0,108.0,180.0,35097,34304,34728.25,282.64498491924456,368.75
metis_unweighted,203851,62208,0.6948359340891141,89512,0.0,0.0,7840,7639,7776.0,78.25439284794177,64.0,25966,25134,25481.375,268.92932970392053,484.625
