method,core_n,n
metis,2240,9654
metis,2315,9533
metis,2231,9623
metis,2285,9339
metis,2228,9504
metis,2198,9746
metis,2220,9390
metis,2283,9555
spectral,2256,11611
spectral,2231,11133
spectral,2247,11701
spectral,2309,11954
spectral,2266,11274
spectral,2202,11660
spectral,2245,11396
spectral,2244,11189
grid,2375,13018
grid,2225,12544
grid,2315,13082
grid,2165,12572
grid,2305,12993
grid,2155,12456
grid,2305,12922
grid,2155,12332
metis_unweighted,2258,9378
metis_unweighted,2221,9365
metis_unweighted,2276,9378
metis_unweighted,2263,9418
metis_unweighted,2255,9491
metis_unweighted,2236,9202
metis_unweighted,2258,9490
metis_unweighted,2233,9360
metis,2527,13209
metis,2535,12999
metis,2636,12061
metis,2491,11885
metis,2636,12845
metis,2575,13211
metis,2485,11920
metis,2595,12067
grid,2616,14573
grid,2552,14350
grid,2600,14559
grid,2536,14336
grid,2584,14353
grid,2520,14109
grid,2568,14339
grid,2504,14095
metis_unweighted,2557,13115
metis_unweighted,2558,13046
metis_unweighted,2560,12954
metis_unweighted,2559,12516
metis_unweighted,2513,12738
metis_unweighted,2559,12885
metis_unweighted,2636,13174
metis_unweighted,2538,12497
metis,1998,9270
metis,2055,9750
metis,1998,9529
metis,2046,9245
metis,2119,9279
metis,2023,8954
metis,2119,9316
metis,2106,9186
spectral,2138,8673
spectral,2001,8537
spectral,1850,8359
spectral,2350,9184
spectral,1991,8618
spectral,1825,8273
spectral,2261,8940
spectral,2048,8656
grid,2345,12365
grid,2037,11878
grid,2267,12215
grid,1961,11627
grid,2142,11697
grid,1862,11424
grid,2066,11528
grid,1784,10962
metis_unweighted,2116,9505
metis_unweighted,2118,9445
metis_unweighted,2117,11182
metis_unweighted,2001,10991
metis_unweighted,1998,11311
metis_unweighted,1999,10964
metis_unweighted,1997,9945
metis_unweighted,2118,10061
metis,2233,12208
metis,2123,12175
metis,2130,11866
metis,2181,12387
metis,2188,11818
metis,2146,12269
metis,2233,11945
metis,2174,12102
spectral,2192,11508
spectral,2157,11374
spectral,2169,11442
spectral,2159,11393
spectral,2186,11493
spectral,2199,11578
spectral,2197,11587
spectral,2149,11400
grid,2192,13759
grid,2163,13704
grid,2192,13759
grid,2158,13701
grid,2192,13759
grid,2160,13704
grid,2192,13759
grid,2159,13700
metis_unweighted,2203,12156
metis_unweighted,2241,12048
metis_unweighted,2146,12078
metis_unweighted,2195,12311
metis_unweighted,2201,11819
metis_unweighted,2163,12414
metis_unweighted,2146,12277
metis_unweighted,2113,11999
metis,2145,11009
metis,2126,11039
metis,2120,10976
metis,2224,11227
metis,2176,11316
metis,2132,11248
metis,2133,11133
metis,2224,11513
spectral,2029,11078
spectral,2112,12050
spectral,2136,10821
spectral,2133,10968
spectral,1904,10590
spectral,2321,11007
spectral,2239,11197
spectral,2406,11314
grid,2218,13097
grid,2148,12290
grid,2187,12677
grid,2123,11936
grid,2181,12691
grid,2117,11894
grid,2164,12593
grid,2142,12171
metis_unweighted,2148,10736
metis_unweighted,2187,11272
metis_unweighted,2155,10891
metis_unweighted,2170,10809
metis_unweighted,2150,11072
metis_unweighted,2159,11078
metis_unweighted,2163,10920
metis_unweighted,2148,10939
metis,2454,9027
metis,2330,9009
metis,2374,9061
metis,2358,9134
metis,2451,9164
metis,2361,8683
metis,2471,8701
metis,2409,9039
spectral,2387,8512
spectral,2394,8330
spectral,2422,8372
spectral,2394,8400
spectral,2359,8330
spectral,2408,8358
spectral,2450,8449
spectral,2394,8414
grid,2421,12179
grid,2408,12059
grid,2389,11893
grid,2396,11883
grid,2403,12052
grid,2391,11874
grid,2397,12048
grid,2403,12101
metis_unweighted,2467,9064
metis_unweighted,2345,8709
metis_unweighted,2472,8930
metis_unweighted,2472,8908
metis_unweighted,2331,8628
metis_unweighted,2453,8992
metis_unweighted,2338,8805
metis_unweighted,2330,8742
metis,2003,11622
metis,1990,11073
metis,2026,11180
metis,2109,11593
metis,2109,10974
metis,2031,11382
metis,2109,11661
metis,2007,11351
spectral,2095,11012
spectral,2007,10944
spectral,2252,11483
spectral,1833,10345
spectral,2358,11953
spectral,1911,10801
spectral,1993,10873
spectral,1935,10817
grid,2094,12844
grid,2071,12946
grid,2059,12763
grid,2047,12702
grid,2043,12724
grid,2041,12685
grid,2026,12695
grid,2003,12637
metis_unweighted,2092,11320
metis_unweighted,2109,11300
metis_unweighted,2006,11026
metis_unweighted,2090,11613
metis_unweighted,1988,11341
metis_unweighted,2002,11561
metis_unweighted,2109,10787
metis_unweighted,1988,11171
metis,2391,8680
metis,2383,8669
metis,2274,8790
metis,2254,9355
metis,2329,9768
metis,2304,9706
metis,2281,9561
metis,2360,9662
spectral,2328,9516
spectral,2320,9486
spectral,2306,9236
spectral,2306,9236
spectral,2334,9420
spectral,2328,9516
spectral,2334,9420
spectral,2320,9486
grid,2336,12907
grid,2317,12677
grid,2331,12907
grid,2317,12677
grid,2332,12907
grid,2309,12677
grid,2325,12907
grid,2309,12677
metis_unweighted,2381,9671
metis_unweighted,2255,9510
metis_unweighted,2255,9473
metis_unweighted,2389,9722
metis_unweighted,2254,9540
metis_unweighted,2329,9601
metis_unweighted,2327,9530
metis_unweighted,2386,9916
metis,2260,5276
metis,2132,5252
metis,2132,5262
metis,2256,5174
metis,2153,5296
metis,2260,5368
metis,2249,5174
metis,2134,5078
spectral,2366,5070
spectral,1521,5564
spectral,2704,5408
spectral,2366,5070
spectral,2353,5356
spectral,2366,5382
spectral,2366,5070
spectral,1534,5590
grid,2275,11223
grid,2222,11268
grid,2275,11193
grid,2185,11150
grid,2197,10956
grid,2120,10740
grid,2210,10993
grid,2092,10667
metis_unweighted,2218,5262
metis_unweighted,2263,5371
metis_unweighted,2132,5234
metis_unweighted,2132,5589
metis_unweighted,2242,5370
metis_unweighted,2132,5722
metis_unweighted,2259,5239
metis_unweighted,2198,5238
metis,2224,7671
metis,2096,7044
metis,2217,7656
metis,2101,7079
metis,2141,7362
metis,2219,7657
metis,2096,8369
metis,2186,8381
spectral,2160,8148
spectral,2160,8148
spectral,2160,8148
spectral,2160,8148
spectral,2160,8148
spectral,2160,8148
spectral,2160,8148
spectral,2160,8148
grid,2269,12640
grid,2244,12640
grid,2144,12356
grid,2106,12294
grid,2182,12577
grid,2137,12539
grid,2107,12387
grid,2091,12356
metis_unweighted,2147,7479
