method,core_n,n
metis,14156,35377
metis,13923,35004
metis,14468,36433
metis,14180,35306
metis,13951,35315
metis,13680,35065
metis,14265,35427
metis,13881,34795
grid,14175,41812
grid,14077,41527
grid,14147,41719
grid,14049,41435
grid,14077,41722
grid,13979,41431
grid,14049,41631
grid,13951,41339
metis_unweighted,14050,35113
metis_unweighted,13652,34745
metis_unweighted,14057,35604
metis_unweighted,14116,35496
metis_unweighted,14342,36918
metis_unweighted,13655,34968
metis_unweighted,14269,35397
metis_unweighted,14363,35316
metis,13550,25408
metis,13631,25519
metis,14130,26286
metis,13588,25752
metis,13317,25523
metis,13975,26179
metis,13523,25338
metis,14030,25850
grid,13700,41376
grid,13746,41793
grid,13684,41141
grid,13746,41897
grid,13759,42115
grid,13690,41149
grid,13734,41822
grid,13685,41143
metis_unweighted,13689,25850
metis_unweighted,13686,25711
metis_unweighted,13743,25687
metis_unweighted,13689,25844
metis_unweighted,13731,25750
metis_unweighted,13827,26001
metis_unweighted,13808,25801
metis_unweighted,13571,25739
metis,13957,33793
metis,13990,33874
metis,14005,33693
metis,13553,33297
metis,13712,33334
metis,14225,34951
metis,13486,33162
metis,14204,34765
grid,14784,43925
grid,14553,43361
grid,14553,43671
grid,14322,43041
grid,13440,41316
grid,13230,40840
grid,13230,41098
grid,13020,40566
metis_unweighted,14068,33546
metis_unweighted,13742,32883
metis_unweighted,14137,33670
metis_unweighted,14133,33166
metis_unweighted,13710,33037
metis_unweighted,13486,32524
metis_unweighted,13680,33116
metis_unweighted,14176,33288
metis,13903,42482
metis,13231,41802
metis,13849,41522
metis,13905,41982
metis,13387,40687
metis,13429,43144
metis,13106,41315
metis,13190,40510
grid,14895,44612
grid,13935,43239
grid,13935,43129
grid,13035,41748
grid,13935,43173
grid,13035,41698
grid,13035,41629
grid,12195,40614
metis_unweighted,13161,39526
metis_unweighted,13234,38415
metis_unweighted,13180,40093
metis_unweighted,13360,40704
metis_unweighted,13798,40665
metis_unweighted,13458,38380
metis_unweighted,13905,40167
metis_unweighted,13904,39764
metis,12667,35893
metis,13200,36218
metis,13095,36318
metis,12687,35482
metis,13093,35643
metis,12788,36104
metis,12681,35594
metis,12674,35093
grid,12913,38406
grid,12814,38582
grid,12997,38374
grid,12900,38638
grid,12824,38454
grid,12713,38323
grid,12911,38319
grid,12813,38439
metis_unweighted,12985,35501
metis_unweighted,12795,35493
metis_unweighted,12599,34779
metis_unweighted,12989,36277
metis_unweighted,13024,36212
metis_unweighted,12638,35473
metis_unweighted,13073,35837
metis_unweighted,12782,35672
metis,14904,29466
metis,14366,28764
metis,15030,29660
metis,14685,29214
metis,15181,29872
metis,15054,29497
metis,14380,33575
metis,14312,33839
grid,15171,45628
grid,14868,44685
grid,14885,44966
grid,14610,44420
grid,14902,45282
grid,14593,44243
grid,14576,44231
grid,14307,43900
metis_unweighted,14781,29551
metis_unweighted,14924,29755
metis_unweighted,14811,29605
metis_unweighted,14631,29152
metis_unweighted,15181,29699
metis_unweighted,14732,29479
metis_unweighted,14310,28827
metis_unweighted,14542,29017
metis,13199,40565
metis,13330,41383
metis,13683,41293
metis,13904,41877
metis,13879,41795
metis,13698,41314
metis,13201,40928
metis,13106,40559
grid,13527,46176
grid,13522,47042
grid,13619,46504
grid,13614,46322
grid,13480,46083
grid,13469,45888
grid,13376,45332
grid,13393,45498
metis_unweighted,13280,38034
metis_unweighted,13735,39206
metis_unweighted,13797,38394
metis_unweighted,13178,37893
metis_unweighted,13575,37754
metis_unweighted,13698,38938
metis_unweighted,13556,38721
metis_unweighted,13181,37064
metis,13792,40268
metis,14132,41061
metis,13651,40087
metis,13844,40341
metis,13790,39695
metis,13497,38996
metis,13506,38780
metis,13548,38812
grid,13753,41851
grid,13756,41856
grid,13692,41772
grid,13685,41738
grid,13752,41854
grid,13751,41849
grid,13686,41763
grid,13685,41772
metis_unweighted,13643,38806
metis_unweighted,13546,38941
metis_unweighted,13679,39340
metis_unweighted,13622,39538
metis_unweighted,13833,37449
metis_unweighted,14077,38621
metis_unweighted,13737,36516
metis_unweighted,13623,36411
metis,12372,32190
metis,12664,31342
metis,12804,31299
metis,12163,31476
metis,12577,31591
metis,12260,30816
metis,12904,31944
metis,12480,30893
grid,12533,38840
grid,12531,38842
grid,12524,38812
grid,12525,38816
grid,12528,38832
grid,12530,38840
grid,12528,38832
grid,12525,38810
metis_unweighted,12851,31279
metis_unweighted,12856,31825
metis_unweighted,12387,30672
metis_unweighted,12245,30644
metis_unweighted,12439,30835
metis_unweighted,12530,31405
metis_unweighted,12469,30850
metis_unweighted,12447,31146
metis,14610,35099
metis,14653,33334
metis,14349,34311
metis,14151,33913
metis,15005,33935
metis,15013,34885
metis,14596,34854
metis,14226,32874
grid,15480,47408
grid,13932,44451
grid,15490,47428
grid,13941,44462
grid,15200,46739
grid,13680,43846
grid,15200,46749
grid,13680,43845
metis_unweighted,14581,34229
metis_unweighted,14582,33174
metis_unweighted,14576,33005
metis_unweighted,14579,33814
metis_unweighted,14580,33683
metis_unweighted,14544,33800
metis_unweighted,14581,33916
metis_unweighted,14580,33384
