method,core_n,n
metis,14156,35377
metis,13923,35004
metis,14468,36433
metis,14180,35306
metis,13951,35315
metis,13680,35065
metis,14265,35427
metis,13881,34795
grid,14175,41812
grid,14077,41527
grid,14147,41719
grid,14049,41435
grid,14077,41722
grid,13979,41431
grid,14049,41631
grid,13951,41339
metis_unweighted,14050,35113
metis_unweighted,13652,34745
metis_unweighted,14057,35604
metis_unweighted,14116,35496
metis_unweighted,14342,36918
metis_unweighted,13655,34968
metis_unweighted,14269,35397
metis_unweighted,14363,35316
metis,13550,25408
metis,13631,25519
metis,14130,26286
metis,13588,25752
metis,13317,25523
metis,13975,26179
metis,13523,25338
metis,14030,25850
grid,13700,41376
grid,13746,41793
grid,13684,41141
grid,13746,41897
grid,13759,42115
grid,13690,41149
grid,13734,41822
grid,13685,41143
metis_unweighted,13689,25850
metis_unweighted,13686,25711
metis_unweighted,13743,25687
metis_unweighted,13689,25844
metis_unweighted,13731,25750
metis_unweighted,13827,26001
metis_unweighted,13808,25801
metis_unweighted,13571,25739
metis,13957,33793
metis,13990,33874
metis,14005,33693
metis,13553,33297
metis,13712,33334
metis,14225,34951
metis,13486,33162
metis,14204,34765
grid,14784,43925
grid,14553,43361
grid,14553,43671
grid,14322,43041
grid,13440,41316
grid,13230,40840
grid,13230,41098
grid,13020,40566
metis_unweighted,14068,33546
metis_unweighted,13742,32883
metis_unweighted,14137,33670
metis_unweighted,14133,33166
metis_unweighted,13710,33037
metis_unweighted,13486,32524
metis_unweighted,13680,33116
metis_unweighted,14176,33288
metis,13903,42482
metis,13231,41802
metis,13849,41522
metis,13905,41982
metis,13387,40687
metis,13429,43144
metis,13106,41315
metis,13190,40510
grid,14895,44612
grid,13935,43239
grid,13935,43129
grid,13035,41748
grid,13935,43173
grid,13035,41698
grid,13035,41629
grid,12195,40614
metis_unweighted,13161,39526
metis_unweighted,13234,38415
metis_unweighted,13180,40093
metis_unweighted,13360,40704
metis_unweighted,13798,40665
metis_unweighted,13458,38380
metis_unweighted,13905,40167
metis_unweighted,13904,39764
metis,12667,35893
metis,13200,36218
metis,13095,36318
metis,12687,35482
metis,13093,35643
metis,12788,36104
metis,12681,35594
metis,12674,35093
grid,12913,38406
grid,12814,38582
grid,12997,38374
grid,12900,38638
grid,12824,38454
grid,12713,38323
grid,12911,38319
grid,12813,38439
metis_unweighted,12985,35501
metis_unweighted,12795,35493
metis_unweighted,12599,34779
metis_unweighted,12989,36277
metis_unweighted,13024,36212
metis_unweighted,12638,35473
metis_unweighted,13073,35837
metis_unweighted,12782,35672
metis,14904,29466
metis,14366,28764
metis,15030,29660
metis,14685,29214
metis,15181,29872
metis,15054,29497
metis,14380,33575
metis,14312,33839
grid,15171,45628
grid,14868,44685
grid,14885,44966
grid,14610,44420
grid,14902,45282
grid,14593,44243
grid,14576,44231
grid,14307,43900
metis_unweighted,14781,29551
metis_unweighted,14924,29755
metis_unweighted,14811,29605
metis_unweighted,14631,29152
metis_unweighted,15181,29699
metis_unweighted,14732,29479
metis_unweighted,14310,28827
metis_unweighted,14542,29017
metis,13199,40565
metis,13330,41383
metis,13683,41293
metis,13904,41877
metis,13879,41795
metis,13698,41314
metis,13201,40928
metis,13106,40559
grid,13527,46176
grid,13522,47042
grid,13619,46504
grid,13614,46322
grid,13480,46083
grid,13469,45888
grid,13376,45332
grid,13393,45498
metis_unweighted,13280,38034
metis_unweighted,13735,39206
metis_unweighted,13797,38394
metis_unweighted,13178,37893
metis_unweighted,13575,37754
metis_unweighted,13698,38938
metis_unweighted,13556,38721
metis_unweighted,13181,37064
metis,13792,40268
metis,14132,41061
metis,13651,40087
metis,13844,40341
metis,13790,39695
metis,13497,38996
metis,13506,38780
metis,13548,38812
grid,13753,41851
grid,13756,41856
grid,13692,41772
grid,13685,41738
grid,13752,41854
grid,13751,41849
grid,13686,41763
grid,13685,41772
metis_unweighted,13643,38806
metis_unweighted,13546,38941
metis_unweighted,13679,39340
metis_unweighted,13622,39538
metis_unweighted,13833,37449
metis_unweighted,14077,38621
metis_unweighted,13737,36516
metis_unweighted,13623,36411
metis,12372,32190
metis,12664,31342
metis,12804,31299
metis,12163,31476
metis,12577,31591
metis,12260,30816
metis,12904,31944
metis,12480,30893
grid,12533,38840
grid,12531,38842
grid,12524,38812
grid,12525,38816
grid,12528,38832
grid,12530,38840
grid,12528,38832
grid,12525,38810
metis_unweighted,12851,31279
metis_unweighted,12856,31825
metis_unweighted,12387,30672
metis_unweighted,12245,30644
metis_unweighted,12439,30835
metis_unweighted,12530,31405
metis_unweighted,12469,30850
metis_unweighted,12447,31146
metis,14610,35099
metis,14653,33334
metis,14349,34311
metis,14151,33913
metis,15005,33935
metis,15013,34885
metis,14596,34854
metis,14226,32874
grid,15480,47408
grid,13932,44451
grid,15490,47428
grid,13941,44462
grid,15200,46739
grid,13680,43846
grid,15200,46749
grid,13680,43845
metis_unweighted,14581,34229
metis_unweighted,14582,33174
metis_unweighted,14576,33005
metis_unweighted,14579,33814
metis_unweighted,14580,33683
metis_unweighted,14544,33800
metis_unweighted,14581,33916
metis_unweighted,14580,33384
metis,14011,36449
metis,14308,35578
metis,14008,34783
metis,14307,35990
metis,13536,34081
metis,13486,36067
metis,13844,36307
metis,13632,35431
grid,14233,41083
grid,13980,40518
grid,14012,40698
grid,13782,40355
grid,13991,40215
grid,13782,40245
grid,13771,39887
grid,13581,39985
metis_unweighted,13752,35072
metis_unweighted,13752,35184
metis_unweighted,13752,34137
metis_unweighted,13748,34853
metis_unweighted,13984,34581
metis_unweighted,13969,34497
metis_unweighted,14091,35772
metis_unweighted,14084,35564
metis,13534,33365
metis,13607,33135
metis,13678,33915
metis,14114,34218
metis,14250,34580
metis,13642,33314
metis,14210,34571
metis,14340,34291
grid,14034,41764
grid,14079,41467
grid,13957,41507
grid,14005,41187
grid,13835,41384
grid,13865,41262
grid,13783,41428
grid,13817,41300
metis_unweighted,13944,34149
metis_unweighted,14147,34097
metis_unweighted,13939,33564
metis_unweighted,13938,34040
metis_unweighted,13561,33023
metis_unweighted,13848,33335
metis_unweighted,13943,34058
metis_unweighted,14055,34033
metis,12464,24484
metis,12999,25054
metis,13049,25395
metis,13133,25520
metis,12378,24835
metis,12378,24749
metis,13009,25182
metis,12590,24753
grid,12758,44952
grid,12746,44946
grid,12756,44920
grid,12744,44911
grid,12756,44906
grid,12742,44904
grid,12758,44920
grid,12740,44915
metis_unweighted,12674,24666
metis_unweighted,13062,24965
metis_unweighted,13133,24907
metis_unweighted,12378,24514
metis_unweighted,12465,24339
metis_unweighted,12378,24334
metis_unweighted,12867,24959
metis_unweighted,13043,25106
metis,12467,28674
metis,13012,29470
metis,12568,28892
metis,12798,29456
metis,13012,29305
metis,12374,28862
metis,12545,29300
metis,12286,28734
grid,12860,40674
grid,12666,39780
grid,12698,40614
grid,12476,39252
grid,12698,40020
grid,12580,39776
grid,12613,40393
grid,12471,39735
metis_unweighted,12761,29138
metis_unweighted,12933,29240
metis_unweighted,12638,29162
metis_unweighted,12903,29769
metis_unweighted,12361,28451
metis_unweighted,12387,28260
metis_unweighted,12339,28498
metis_unweighted,12740,29090
metis,13116,32661
metis,13116,32221
metis,13584,33466
metis,13803,34559
metis,13402,33175
metis,13916,34694
metis,13349,33051
metis,13800,33861
grid,13553,40027
grid,13465,39651
grid,13531,39845
grid,13496,39833
grid,13536,39900
grid,13508,39804
grid,13500,39724
grid,13497,40018
metis_unweighted,13314,33672
metis_unweighted,13864,34403
metis_unweighted,13903,34139
metis_unweighted,13718,34191
metis_unweighted,13716,34152
metis_unweighted,13116,33343
metis_unweighted,13329,33111
metis_unweighted,13126,33014
metis,14628,35089
metis,15181,36277
metis,14525,35745
metis,14437,34838
metis,14309,35162
metis,14835,37204
metis,15181,36497
metis,14816,36316
grid,14820,43085
grid,14658,41926
grid,14829,43183
grid,14683,42202
grid,14835,42940
grid,14694,42232
grid,14761,42960
grid,14632,42291
metis_unweighted,15175,35152
metis_unweighted,15062,35361
metis_unweighted,14906,35547
metis_unweighted,15001,34688
metis_unweighted,14567,34291
metis_unweighted,14570,35288
metis_unweighted,14321,35190
metis_unweighted,14310,34681
metis,14742,37075
metis,15011,37943
metis,14481,37545
metis,14207,36370
metis,14489,37022
metis,14244,37011
metis,14611,37254
metis,14855,38194
grid,14581,43588
grid,14582,43588
grid,14581,43588
grid,14577,43588
grid,14581,43588
grid,14578,43588
grid,14580,43588
grid,14580,43588
metis_unweighted,14591,36514
metis_unweighted,14578,36929
metis_unweighted,14578,36618
metis_unweighted,14579,37410
metis_unweighted,14577,36541
metis_unweighted,14579,37020
metis_unweighted,14581,37180
metis_unweighted,14577,36813
metis,14448,43314
metis,15038,44699
metis,15294,46148
metis,15294,45788
metis,14488,43259
metis,14613,45175
metis,15107,45304
metis,14502,44485
grid,15157,47807
grid,14796,46145
grid,15013,46989
grid,14674,45777
grid,15027,46841
grid,14684,45834
grid,14802,46172
grid,14631,45183
metis_unweighted,15029,45029
metis_unweighted,15120,44972
metis_unweighted,14900,43599
metis_unweighted,15033,43643
metis_unweighted,14438,42719
metis_unweighted,14876,44933
metis_unweighted,14547,43726
metis_unweighted,14841,44818
metis,16078,43339
metis,15894,43390
metis,15991,42894
metis,16015,43785
metis,15934,42872
metis,15735,43208
metis,15920,43543
metis,16305,43741
grid,16036,46812
grid,15964,46794
grid,16014,46722
grid,15940,46698
grid,16028,46774
grid,15956,46756
grid,16002,46692
grid,15932,46680
metis_unweighted,15694,41869
metis_unweighted,15618,41471
metis_unweighted,15637,40492
metis_unweighted,15728,41085
metis_unweighted,16381,41650
metis_unweighted,16040,42489
metis_unweighted,16464,41903
metis_unweighted,16310,42206
metis,13576,34289
metis,14277,34963
metis,14190,34618
metis,14308,34986
metis,13702,34989
metis,13488,34190
metis,14048,34802
metis,13543,34040
grid,14795,44229
grid,14542,43436
grid,14542,43191
grid,14333,42823
grid,13450,41603
grid,13220,40876
grid,13220,40623
grid,13030,40315
metis_unweighted,14016,33371
metis_unweighted,13964,33598
metis_unweighted,14180,33716
metis_unweighted,14150,33683
metis_unweighted,13924,33153
metis_unweighted,13723,32938
metis_unweighted,13486,33373
metis_unweighted,13689,32685
metis,13905,40204
metis,13406,39711
metis,13835,40229
metis,13427,40135
metis,13407,39291
metis,13410,39515
metis,13247,38172
metis,13363,39468
grid,13722,43240
grid,13550,43314
grid,13546,43034
grid,13377,42693
grid,13519,42880
grid,13361,42613
grid,13476,42878
grid,13449,42346
metis_unweighted,13627,39717
metis_unweighted,13653,39468
metis_unweighted,13528,39468
metis_unweighted,13768,40691
metis_unweighted,13330,39725
metis_unweighted,13159,38658
metis_unweighted,13106,38587
metis_unweighted,13829,40582
metis,13761,31945
metis,13660,31074
metis,14063,31274
metis,13523,31662
metis,14262,32736
metis,14308,31643
metis,13758,32581
metis,13797,30693
grid,13981,47151
grid,13760,46700
grid,14064,48112
grid,13782,47310
grid,14013,47929
grid,13854,47930
grid,13949,47022
grid,13729,46654
metis_unweighted,13710,30643
metis_unweighted,13492,30986
metis_unweighted,13986,30539
metis_unweighted,14236,31914
metis_unweighted,14069,31142
metis_unweighted,14037,30834
metis_unweighted,14109,31285
metis_unweighted,13493,30921
metis,13002,24159
metis,12876,23248
metis,13178,24371
metis,12485,23552
metis,12883,22673
metis,13143,24283
metis,12833,21919
metis,12485,23402
grid,12840,44919
grid,13076,45495
grid,12720,44870
grid,12987,45862
grid,12718,44567
grid,12989,45446
grid,12629,44642
grid,12926,45859
metis_unweighted,12641,22760
metis_unweighted,13247,23602
metis_unweighted,12877,23738
metis_unweighted,12848,23615
metis_unweighted,12785,23835
metis_unweighted,12485,23217
metis_unweighted,12756,23052
metis_unweighted,13246,24076
metis,13464,39903
metis,13570,39193
metis,14041,39938
metis,13362,39221
metis,13676,38765
metis,13435,38445
metis,14131,40069
metis,14081,39830
grid,14743,45441
grid,14293,43849
grid,13901,43233
grid,13511,42549
grid,13901,43233
grid,13511,42549
grid,13119,41485
grid,12781,41485
metis_unweighted,13706,41274
metis_unweighted,13712,40494
metis_unweighted,13725,38937
metis_unweighted,13723,39435
metis_unweighted,13735,39165
metis_unweighted,13737,39441
metis_unweighted,13708,40103
metis_unweighted,13714,40441
metis,12990,37604
metis,13620,37783
metis,13709,38182
metis,13184,36498
metis,13255,37105
metis,13114,37241
metis,13421,38045
metis,13187,37384
grid,13325,41446
grid,13359,41807
grid,13355,41962
grid,13344,41728
grid,13322,41634
grid,13270,41279
grid,13271,41229
grid,13234,40512
metis_unweighted,13276,36642
metis_unweighted,13333,37120
metis_unweighted,13368,37394
metis_unweighted,13280,36964
metis_unweighted,13396,37788
metis_unweighted,13304,37568
metis_unweighted,13290,37467
metis_unweighted,13233,36620
metis,13107,36115
metis,12983,36355
metis,13323,36363
metis,12934,36014
metis,13227,35929
metis,13709,36271
metis,13501,36381
metis,13696,36818
grid,13511,42405
grid,13329,41803
grid,13307,41590
grid,13115,41000
grid,13406,41825
grid,13236,41371
grid,13379,41791
grid,13197,41320
metis_unweighted,13397,35518
metis_unweighted,13314,35543
metis_unweighted,13356,35755
metis_unweighted,13274,35276
metis_unweighted,13150,35702
metis_unweighted,13249,35655
metis_unweighted,13583,36167
metis_unweighted,13157,35387
metis,13319,30492
metis,13613,30724
metis,14132,31761
metis,13614,30950
metis,14132,31660
metis,13327,30517
metis,14034,31563
metis,13589,31043
grid,13811,41930
grid,13713,41821
grid,13783,41900
grid,13685,41783
grid,13776,41801
grid,13678,41690
grid,13706,41837
grid,13608,41721
metis_unweighted,13572,31228
metis_unweighted,14026,31874
metis_unweighted,14129,32381
metis_unweighted,13572,31154
metis_unweighted,13412,30512
metis_unweighted,13686,30745
metis_unweighted,13348,30702
metis_unweighted,14015,31707
metis,13864,36976
metis,14130,37548
metis,13621,37229
metis,13513,36242
metis,14001,37067
metis,13397,36445
metis,13475,36759
metis,13743,36788
grid,13719,40496
grid,13557,40050
grid,13704,40511
grid,13543,40065
grid,13907,41000
grid,13708,40014
grid,13903,41156
grid,13703,40008
metis_unweighted,13715,35697
metis_unweighted,13723,35969
metis_unweighted,13724,36515
metis_unweighted,13713,36147
metis_unweighted,13714,36437
metis_unweighted,13719,37176
metis_unweighted,13716,36332
metis_unweighted,13720,36252
metis,13709,34125
metis,13565,33208
metis,13709,34001
metis,13257,33399
