method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,439561,202500,0.5393130873758136,79780,183986813,37.13357124181284,25875,24693,25312.5,380.19665963814043,562.5,57404,53134,54945.125,1136.4019356614103,2458.875
grid,552407,202500,0.6334224584409683,177408,394510388,86.04947249056598,25548,25044,25312.5,151.35058638802823,235.5,70332,67578,69050.875,876.4090707968511,1281.125
metis_unweighted,447501,202500,0.5474870447216877,82245,189966606,38.19950127976167,25576,25001,25312.5,179.19472648490523,263.5,58251,54669,55937.625,1054.147159733877,2313.375
metis,421329,218750,0.4808095336423555,108760,167251169,73.13029152793519,28161,26546,27343.75,603.7910959098353,817.25,54327,51360,52666.125,1030.3171159283922,1660.875
grid,624095,218750,0.6494924650894496,225269,346878743,151.33079625642,27905,26980,27343.75,281.4319411509646,561.25,79623,76617,78011.875,1014.4447295811635,1611.125
metis_unweighted,414762,218750,0.47258909929067755,106109,163199807,71.37269043429536,27977,26980,27343.75,368.8782827708891,633.25,52494,51279,51845.25,404.0871657204668,648.75
metis,327759,203742,0.3783786257585604,72165,110241519,48.51775576519006,25701,25001,25467.75,218.01419105186707,233.25,41203,40571,40969.875,194.39099612636383,233.125
grid,623596,203742,0.6732788536167646,219551,328929909,151.23565725071455,25672,25324,25467.75,122.56809331959113,204.25,79218,76805,77949.5,815.4883506218835,1268.5
metis_unweighted,326362,203742,0.3757177612589701,71104,109168342,47.52668782733396,25766,25137,25467.75,227.32397035948497,298.25,41154,40131,40795.25,306.30448494920864,358.75
metis,406075,230685,0.43191528658499045,113007,287442049,48.209916270521326,29702,28036,28835.625,633.429147083555,866.375,51862,49387,50759.375,772.0713920195464,1102.625
grid,646583,230685,0.6432244584221979,217338,576097163,85.90817142236055,29161,28570,28835.625,238.14908014728925,325.375,81798,80071,80822.875,567.209934129331,975.125
metis_unweighted,403763,230685,0.42866235885903364,111337,284734416,47.134886625318344,29698,28161,28835.625,578.1342701959468,862.375,51451,49297,50470.375,708.3388909095702,980.625
metis,389501,207360,0.46762652727464116,89583,128122209,64.92123912243177,26698,25186,25920.0,518.3760700495346,778.0,50315,46917,48687.625,1098.0634018010983,1627.375
grid,530762,207360,0.6093164167743734,146359,210003242,105.70737327583919,25927,25915,25920.0,3.905124837953327,7.0,66378,66324,66345.25,17.239127008059313,32.75
metis_unweighted,387975,207360,0.46553257297506284,85669,123776881,61.353855423488675,26455,25517,25920.0,280.5392129453564,535.0,49170,47201,48496.875,637.1191877309927,673.125
metis,376701,202500,0.4624383795105402,88024,235379417,34.40056760488762,26073,24682,25312.5,586.618061433502,760.5,48539,45857,47087.625,905.5139338381271,1451.375
grid,541327,202500,0.6259192687599178,162442,435883142,63.46929985558558,25476,25194,25312.5,88.81722805852478,163.5,68167,67210,67665.875,318.2689261850739,501.125
metis_unweighted,377299,202500,0.46329038772962555,84222,227915576,32.408033574482474,25815,24779,25312.5,373.15311870598106,502.5,47827,45853,47162.375,598.5298525345248,664.625
metis,514001,219520,0.5729191188343992,121351,213363462,71.32999879164991,28264,26662,27440.0,611.6802677870196,824.0,65433,62900,64250.125,862.046755910026,1182.875
grid,549685,219520,0.6006440052029799,172390,299081595,105.2094286151535,28056,27075,27440.0,369.8813999108363,616.0,70469,67818,68710.625,1039.5556667995227,1758.375
metis_unweighted,514345,219520,0.5732047555629004,121787,215072503,71.19231185237936,28070,26992,27440.0,357.27965237331944,630.0,64939,63625,64293.125,490.5964322893105,645.875
metis,503313,215622,0.5715946140870591,138084,202215932,97.74082026090343,27738,26166,26952.75,583.4136075718495,785.25,65904,59193,62914.125,1956.4408013980387,2989.875
grid,580836,215622,0.6287730099374006,175353,262930150,121.67978340883033,27028,26897,26952.75,42.31356165580959,75.25,73120,72166,72604.5,337.67699062861834,515.5
metis_unweighted,486513,215622,0.5568011543370887,133221,195833893,94.07799803324374,27682,26224,26952.75,430.9033389288136,729.25,65113,58578,60814.125,2125.51866831957,4298.875
metis,454101,250458,0.44845309743867556,124147,296737747,55.40004646686328,32248,30738,31307.25,551.2927421071313,940.75,57586,55855,56762.625,634.4509314162916,823.375
grid,700142,250458,0.6422754241282482,229120,560383761,98.05639834959742,31418,31215,31307.25,68.49224408646573,110.75,87976,87272,87517.75,230.13352102638154,458.25
metis_unweighted,454598,250458,0.4490560891160982,124118,297415615,55.18044363113451,32038,30639,31307.25,494.0335894450903,730.75,57699,55835,56824.75,556.2728085211428,874.25
metis,443112,209952,0.5261875101554461,104914,179586682,63.63934105418688,27032,25609,26244.0,483.7251285595984,788.0,57918,53820,55389.0,1143.2265742187767,2529.0
grid,539041,209952,0.6105082915770785,162950,276164052,100.23890549430135,26649,25839,26244.0,243.0,405.0,67964,66771,67380.125,380.6282430075309,583.875
metis_unweighted,445444,209952,0.5286680256104022,104401,179748168,62.890991582517906,26824,25772,26244.0,303.41473266801006,580.0,57312,54913,55680.5,747.4745815076255,1631.5
