method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,530871,221616,0.5825426516046271,134333,308122179,61.595733876496084,28534,27136,27702.0,410.05792273775177,832.0,67018,65706,66358.875,462.6557676880296,659.125
grid,571403,221616,0.6121546439203155,156121,355689806,71.85978240718973,27854,27559,27702.0,95.83579706977973,152.0,71509,71308,71425.375,70.12834216634528,83.625
metis_unweighted,538719,221616,0.588624125007657,137255,316236754,62.52868124311847,28361,27274,27702.0,364.83694988309503,659.0,68757,65997,67339.875,756.9756332769239,1417.125
metis,451292,233280,0.4830841229181993,115403,253825983,55.98577545008712,30036,28309,29160.0,609.9131085654743,876.0,58071,54728,56411.5,1151.837336606172,1659.5
grid,593023,233280,0.6066257126620721,168718,390998250,76.5915895858722,29358,28980,29160.0,118.033893437436,198.0,74565,73672,74127.875,390.8616882926747,437.125
metis_unweighted,446187,233280,0.4771698861688037,111781,253161401,52.207681737845185,29856,28738,29160.0,308.27949980496595,696.0,57413,54374,55773.375,1039.6648423290076,1639.625
metis,424276,210912,0.5028896284494055,105039,152183174,75.29941639141,27156,25828,26364.0,490.6523718479306,792.0,54421,52488,53034.5,714.0896302285869,1386.5
grid,638780,210912,0.6698205955101914,187199,279754210,130.31783143883536,26676,26104,26364.0,189.95130955063195,312.0,80428,79314,79847.5,478.3197152533021,580.5
metis_unweighted,421457,210912,0.49956460564185673,101197,149386970,71.20885450318798,26434,26306,26364.0,39.32556420447137,70.0,53216,52079,52682.125,360.59202622215594,533.875
metis,446498,216000,0.5162352350962378,114838,235037296,58.452766725412765,27811,26289,27000.0,604.2509826222876,811.0,57427,53643,55812.25,1094.6865704392285,1614.75
grid,532480,216000,0.5943509615384616,147959,299644473,76.60270344409633,27360,26685,27000.0,195.28824849437305,360.0,67496,65884,66560.0,546.7243363890069,936.0
metis_unweighted,445940,216000,0.5156299053684352,112818,232860902,56.755928186218284,27582,26244,27000.0,485.96476209700637,582.0,57023,54034,55742.5,1067.5235360403067,1280.5
metis,458067,216513,0.5273333376995069,122348,176824171,87.772824420023,27877,26300,27064.125,568.0051578771095,812.875,58588,55791,57258.375,803.526747765748,1329.625
grid,642124,216513,0.6628174620478288,191956,277184865,137.9553554088221,27378,26715,27064.125,299.55860757955196,313.875,81206,79250,80265.5,705.6583805213398,940.5
metis_unweighted,452844,216513,0.521881707607918,118740,173097778,84.43261476826036,27424,26913,27064.125,208.42770779097486,359.875,57099,56093,56605.5,336.58802711920697,493.5
metis,489555,246000,0.4975028342065754,127743,282570114,60.96516070505332,31631,30146,30750.0,468.53495067070503,881.0,63433,59423,61194.375,1075.468960209917,2238.625
grid,647919,246000,0.6203229107342122,213418,474889666,100.65663019754052,30754,30748,30750.0,2.3979157616563596,4.0,81000,80980,80989.875,5.4872010169119925,10.125
metis_unweighted,488178,246000,0.496085444243698,126987,282398707,60.18134314383137,31464,30173,30750.0,402.9714630094791,714.0,61914,60027,61022.25,611.2959082964649,891.75
metis,520421,214375,0.5880738863343332,126890,203942200,81.84649037641958,26806,26777,26796.875,8.447447839436476,9.125,66299,63682,65052.625,791.8675611331734,1246.375
grid,563393,214375,0.6194929649463163,123278,197696524,79.4908247704383,29160,24565,26796.875,1326.6427022280716,2363.125,75074,65964,70424.125,2630.0401820837264,4649.875
metis_unweighted,531035,214375,0.5963072113890798,128037,206023704,82.50922951802158,26805,26794,26796.875,3.2185982973959333,8.125,67589,65350,66379.375,590.6208465462424,1209.625
metis,521690,218750,0.5806896816116851,141431,220235990,94.2936494574058,28165,26698,27343.75,567.6679817463726,821.25,67890,63983,65211.25,1180.1313221417352,2678.75
grid,578753,218750,0.622032196809347,177433,276876667,118.29562551618616,27510,27182,27343.75,126.86976590188854,166.25,73174,71706,72344.125,429.7977540367097,829.875
metis_unweighted,516279,218750,0.576294987787611,137947,216873670,90.96677300244785,27348,27340,27343.75,2.7271780286589284,4.25,65655,63997,64534.875,519.784675971695,1120.125
metis,468283,209952,0.5516557295481579,142080,408940677,52.077206018711514,27024,25525,26244.0,573.088998323995,780.0,59877,57366,58535.375,952.2847443779618,1341.625
grid,531224,209952,0.6047768926102737,175620,504363156,64.79900254792268,26568,25920,26244.0,198.40866916543743,324.0,67143,65663,66403.0,440.5428469513493,740.0
metis_unweighted,469039,209952,0.5523783736533636,142449,413058921,51.48354605740493,26880,25669,26244.0,404.2712579444648,636.0,59527,57753,58629.875,594.5215381926882,897.125
metis,482628,218750,0.5467523641396687,120006,193041658,77.3765474808672,28165,26596,27343.75,604.4079230949906,821.25,61634,59008,60328.5,931.5120772163933,1305.5
grid,552650,218750,0.6041798606713109,171942,271389201,113.75951530589053,27525,27157,27343.75,158.60229348909178,181.25,69778,68480,69081.25,533.9807463757471,696.75
metis_unweighted,478667,218750,0.543001711001594,116995,189477616,74.86846693953571,28146,26578,27343.75,722.5575669107618,802.25,61267,58096,59833.375,1115.6154061212135,1433.625
