num_atoms,num_parts,num_mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_ratio,forces_error_mse,forces_error_rms,benchmark_time,all_partition_time,avg_partition_time
192,20,2,0.00201416015625,0.00021148102860024665,0.10861212015151978,0.006744483020156622,22.359636425971985,0.033335347,0.00023642585438210517,0.015376145951449871,3.5908336639404297,0.19023799896240234,0.009511899948120118
192,20,3,6.103515625e-05,6.408514963140988e-06,0.0005658864974975586,9.679106005933136e-05,1.6172613948583603,0.00047160906,1.6464777985447654e-08,0.0001283151505049318,0.010007858276367188,0.18635153770446777,0.009317576885223389
192,20,4,0.00018310546875,1.9225542757794756e-05,0.0007597506046295166,0.00010344464681111276,2.6312902569770813,0.00050010125,1.8754475306081986e-08,0.00013694698282051831,0.009938240051269531,0.18618154525756836,0.009309077262878418
192,20,5,6.103515625e-05,6.408514963140988e-06,0.000591963529586792,0.00010470445704413578,3.4110769629478455,0.0005082073,1.9049325672426676e-08,0.00013801929890178144,0.0099029541015625,0.18639492988586426,0.009319746494293213
192,20,6,0.00018310546875,1.9225544178880227e-05,0.0004131197929382324,0.00010534255125094205,7.998631149530411,0.0005099319,1.7283699804693242e-08,0.00013146748824510723,0.009761333465576172,0.1981184482574463,0.009905922412872314
192,20,7,0.0,0.0,0.0005003809928894043,0.00010271684004692361,3.2331112772226334,0.00050646684,1.6931744895032352e-08,0.00013012203271500766,0.009746313095092773,0.19445562362670898,0.00972278118133545
768,20,2,0.653076171875,0.01714278041617945,0.20249876379966736,0.025911197066307068,124.50336217880249,0.12653999,0.0018565731588751078,0.04308797046542168,0.03971362113952637,0.1985642910003662,0.00992821455001831
768,20,3,0.0390625,0.0010253625077893957,0.05216458439826965,0.005117472261190414,17.191006243228912,0.02485626,8.474694914184511e-05,0.009205810725688934,0.011908531188964844,0.22242212295532227,0.011121106147766114
768,20,4,0.007568359375,0.0001986639972528792,0.009521275758743286,0.0006853932281956077,7.216764986515045,0.0032744259,1.621692376829742e-06,0.0012734568445011973,0.011968374252319336,0.2207949161529541,0.011039745807647706
768,20,5,0.000244140625,6.4085156736837234e-06,0.0006269514560699463,0.00011265906505286694,24.724118411540985,0.00054284703,2.1541413985914915e-08,0.00014676993305329233,0.01184535026550293,0.23474383354187012,0.011737191677093506
768,20,6,0.0,0.0,0.0005760788917541504,0.00010701730934670195,3.9310120046138763,0.0005135382,1.9168712839245927e-08,0.00013845112698618323,0.01193094253540039,0.48248887062072754,0.024124443531036377
768,20,7,0.0,0.0,0.0006556510925292969,0.0001071355800377205,3.5091426223516464,0.00051544467,1.9098703063491484e-08,0.0001381980546284467,0.012115478515625,0.4228553771972656,0.02114276885986328
1536,20,2,1.6064453125,0.021084019681438804,0.5678004026412964,0.025589000433683395,192.18831062316895,0.12377315,0.0016183651750907302,0.040228910744190216,0.03455471992492676,0.22596502304077148,0.011298251152038575
1536,20,3,0.09130859375,0.0011983924196101725,0.04678446054458618,0.004330161027610302,448.18177223205566,0.021131366,5.598231655312702e-05,0.007482133340090513,0.01737213134765625,0.27282094955444336,0.013641047477722167
1536,20,4,0.015625,0.0002050725242952467,0.009529024362564087,0.0014871435705572367,7.511864602565765,0.0067535695,4.275122137187282e-06,0.0020676369313150644,0.017380714416503906,0.3399655818939209,0.016998279094696044
1536,20,5,0.03125,0.0004101450940652285,0.004564076662063599,0.0011886171996593475,5.987799167633057,0.0053080446,2.7908097308682045e-06,0.001670571626164019,0.01732778549194336,0.3506021499633789,0.017530107498168947
1536,20,6,0.0009765625,1.2817032768452918e-05,0.0008332729339599609,0.00010652546188794076,4.60062138736248,0.00051364495,1.9051700661520954e-08,0.0001380278990836814,0.01747870445251465,0.34975552558898926,0.017487776279449464
1536,20,7,0.001953125,2.5634062694734894e-05,0.000746995210647583,0.00010579419904388487,4.094579443335533,0.000511756,1.8909526389165876e-08,0.00013751191727351397,0.017423391342163086,0.3488900661468506,0.01744450330734253
3456,20,2,1.619140625,0.009444725583307445,0.20491306483745575,0.01902894861996174,111.52476072311401,0.0919089,0.0010026179952546954,0.03166414424777031,0.03472614288330078,0.25448179244995117,0.012724089622497558
3456,20,3,0.052734375,0.000307608638649981,0.05002284049987793,0.0038906033150851727,47.03308045864105,0.019151865,5.723423237213865e-05,0.007565331179648638,0.03421640396118164,0.45167088508605957,0.02258354425430298
3456,20,4,0.01171875,6.835747967670613e-05,0.011174649000167847,0.0007427112432196736,5.766315385699272,0.0035033866,1.8505295429349644e-06,0.0013603416737169027,0.034552574157714844,0.4648747444152832,0.02324373722076416
3456,20,5,0.009765625,5.696456355508417e-05,0.00421452522277832,0.00017862279491964728,8.635539561510086,0.0008364146,1.8351285291373642e-07,0.0004283839953131974,0.03440690040588379,0.7307860851287842,0.03653930425643921
3456,20,6,0.0234375,0.0001367149479847285,0.004593938589096069,0.0005153575330041349,8.677827566862106,0.0023322855,1.0739078106780653e-06,0.0010362952016294003,0.03478264808654785,0.6289362907409668,0.03144681453704834
3456,20,7,0.001953125,1.1392913279451022e-05,0.0008115768432617188,0.00010524838580749929,3.53424996137619,0.00050964736,1.8324298522998106e-08,0.0001353672705590725,0.034378767013549805,0.6868929862976074,0.03434464931488037
5184,20,2,3.0234375,0.0117574876639992,0.20233577489852905,0.01852176897227764,369.7957515716553,0.089834236,0.0009634948801249266,0.031040214002132416,0.05250191688537598,0.3278012275695801,0.016390061378479003
5184,20,3,0.15234375,0.0005924316610617097,0.04990825057029724,0.003817445831373334,55.165547132492065,0.018478256,5.091085040476173e-05,0.0071351840160787106,0.05212545394897461,0.4479196071624756,0.02239598035812378
5184,20,4,0.0078125,3.0381104920707003e-05,0.010688155889511108,0.00041194556979462504,613829.6875,0.0020009915,7.127414960450551e-07,0.0008442401885986328,0.05222344398498535,0.7797465324401855,0.03898732662200928
5184,20,5,0.01953125,7.595276088068204e-05,0.004533171653747559,0.00024711116566322744,7.5668469071388245,0.0011372984,3.7120827300896053e-07,0.0006092686089687049,0.0525662899017334,0.8442802429199219,0.04221401214599609
5184,20,6,0.015625,6.076222121009778e-05,0.004412919282913208,0.0002367725974181667,17.382970452308655,0.0010928266,3.5442812418295944e-07,0.0005953386425971985,0.05254054069519043,1.0311717987060547,0.05155858993530273
5184,20,7,0.013671875,5.3166928637438104e-05,0.00448530912399292,0.0001759927108651027,6.3744306564331055,0.00082235166,2.01334998450875e-07,0.00044870367855764925,0.05270862579345703,1.068002462387085,0.05340012311935425
9216,20,2,3.47265625,0.007596211798954755,0.1881784200668335,0.015300250612199306,142.286479473114,0.07431235,0.0007577982032671571,0.02752813510596752,0.11519718170166016,0.40668463706970215,0.020334231853485107
9216,20,3,0.02734375,5.981269737276307e-05,0.04943805932998657,0.0030954089015722275,17.470714449882507,0.015202214,4.228826946928166e-05,0.006502943113446236,0.1070091724395752,0.8272116184234619,0.0413605809211731
9216,20,4,0.015625,3.417867446842138e-05,0.011128097772598267,0.0003721302782651037,4.301512241363525,0.0018075444,6.907687861712475e-07,0.0008311250130645931,0.10721945762634277,0.8847663402557373,0.04423831701278687
9216,20,5,0.0,0.0,0.004599064588546753,0.0001777365105226636,5.4923441261053085,0.0008324689,1.9424544461799087e-07,0.00044073283788748085,0.10751152038574219,0.9931924343109131,0.04965962171554565
9216,20,6,0.0078125,1.708934007638163e-05,0.004381537437438965,0.00017406354891136289,5.3765323013067245,0.00081472617,1.942057537007713e-07,0.0004406878142617643,0.10730743408203125,1.2934086322784424,0.06467043161392212
9216,20,7,0.00390625,8.544667906562609e-06,0.0008234977722167969,0.00010545458644628525,4.747992381453514,0.0005081774,1.8528423240127267e-08,0.00013611915346700698,0.10752725601196289,1.7800512313842773,0.08900256156921386
