method,core_n,n
metis,13516,34531
metis,13114,34527
metis,13191,34370
metis,13121,34217
metis,12784,33759
metis,13414,34934
metis,12943,34409
metis,12893,34438
grid,13482,42393
grid,12996,41475
grid,13428,42351
grid,12942,41431
grid,13257,42163
grid,12771,41009
grid,13293,42162
grid,12807,41076
metis_unweighted,12972,33853
metis_unweighted,12997,33812
metis_unweighted,13291,34503
metis_unweighted,13211,35038
metis_unweighted,13146,34478
metis_unweighted,13141,33942
metis_unweighted,13287,34647
metis_unweighted,12931,33837
metis,14017,40328
metis,14041,39993
metis,13928,40938
metis,14132,41980
metis,13342,39859
metis,13498,39386
metis,13483,39455
metis,13319,40510
grid,13937,44677
grid,13713,44094
grid,13797,44363
grid,13629,43992
grid,13839,44186
grid,13615,43576
grid,13699,43872
grid,13531,43474
metis_unweighted,13723,39824
metis_unweighted,13722,39021
metis_unweighted,13715,39254
metis_unweighted,13720,39181
metis_unweighted,13718,40117
metis_unweighted,13720,39581
metis_unweighted,13721,39703
metis_unweighted,13721,39560
metis,13017,34468
metis,12907,34400
metis,12821,33831
metis,12798,35185
metis,13577,35965
metis,13577,35985
metis,13181,34630
metis,13578,35651
grid,13767,41642
grid,12753,39769
grid,13624,41525
grid,12610,39522
grid,13754,41636
grid,12740,39827
grid,13611,41418
grid,12597,39396
metis_unweighted,13030,35501
metis_unweighted,13438,36121
metis_unweighted,13375,36710
metis_unweighted,13029,34665
metis_unweighted,13390,35651
metis_unweighted,13037,35711
metis_unweighted,13118,35660
metis_unweighted,13039,35663
metis,14205,41556
metis,14051,40570
metis,14669,42029
metis,14774,43804
metis,14228,42566
metis,14774,43400
metis,14124,43172
metis,13925,41489
grid,14375,47061
grid,14304,47098
grid,14410,47436
grid,14290,47127
grid,14411,47412
grid,14299,47161
grid,14404,47406
grid,14257,46808
metis_unweighted,14726,42132
metis_unweighted,13999,41541
metis_unweighted,14352,41635
metis_unweighted,14770,42688
metis_unweighted,14434,41380
metis_unweighted,14404,41917
metis_unweighted,14083,41994
metis_unweighted,13982,40887
metis,13078,36598
metis,13664,37543
metis,13709,38509
metis,13696,37786
metis,13484,38368
metis,12932,37537
metis,12921,37341
metis,12996,37153
grid,13497,42667
grid,13423,42223
grid,13313,41248
grid,13270,40713
grid,13264,41024
grid,13289,40779
grid,13263,40808
grid,13161,40405
metis_unweighted,13301,37462
metis_unweighted,13308,38630
metis_unweighted,13308,36970
metis_unweighted,13323,38395
metis_unweighted,13308,37604
metis_unweighted,13315,37766
metis_unweighted,13310,37346
metis_unweighted,13307,36641
metis,14930,34643
metis,15564,35737
metis,15071,34581
metis,15739,36422
metis,15271,35402
metis,15243,34994
metis,15670,36027
metis,15544,35633
grid,15408,44447
grid,15406,44360
grid,15353,43895
grid,15355,43971
grid,15386,44316
grid,15378,44120
grid,15371,44192
grid,15375,44304
metis_unweighted,15625,36257
metis_unweighted,15532,35464
metis_unweighted,15650,35697
metis_unweighted,15379,35318
metis_unweighted,15637,35173
metis_unweighted,15342,35187
metis_unweighted,14937,33587
metis_unweighted,14930,33957
metis,13684,41614
metis,13123,39460
metis,13903,41751
metis,13905,41098
metis,13153,40585
metis,13119,39230
metis,13399,39742
metis,13714,39681
grid,13503,42578
grid,13379,42733
grid,13492,42702
grid,13570,42715
grid,13490,42725
grid,13569,42777
grid,13535,42590
grid,13462,42437
metis_unweighted,13736,39914
metis_unweighted,13627,39487
metis_unweighted,13673,39466
metis_unweighted,13351,38918
metis_unweighted,13165,37112
metis_unweighted,13241,38467
metis_unweighted,13571,39407
metis_unweighted,13636,40436
metis,14204,34999
metis,14723,35829
metis,14119,35106
metis,13970,34798
metis,14738,35453
metis,14169,35101
metis,13914,34961
metis,14629,35470
grid,14451,44020
grid,14391,43863
grid,14348,44478
grid,14289,44090
grid,14348,44299
grid,14286,44183
grid,14207,44041
grid,14146,43794
metis_unweighted,14625,37473
metis_unweighted,14182,36553
metis_unweighted,14182,37013
metis_unweighted,13949,36366
metis_unweighted,14391,36891
metis_unweighted,13918,36227
metis_unweighted,14483,35566
metis_unweighted,14736,36052
metis,14239,24178
metis,13420,23512
metis,13824,23040
metis,13824,23040
metis,13824,23040
metis,13813,23040
metis,13568,23016
metis,14080,23664
grid,14136,43380
grid,13872,42739
grid,14088,43377
grid,13776,42686
grid,13848,42626
grid,13584,41972
grid,13800,42618
grid,13488,41901
metis_unweighted,14086,24634
metis_unweighted,13775,24507
metis_unweighted,13850,23712
metis_unweighted,13617,23723
metis_unweighted,14068,24067
metis_unweighted,13701,23730
metis_unweighted,14074,24380
metis_unweighted,13421,24229
metis,12972,30822
metis,13709,30127
metis,13535,30299
metis,13024,31574
metis,13579,30069
metis,12921,31102
metis,13031,31132
metis,13709,30376
grid,13813,47058
grid,13740,46883
grid,13384,44558
grid,13267,44285
grid,13184,45756
grid,13107,45870
grid,13027,44550
grid,12958,44480
metis_unweighted,13577,30453
metis_unweighted,12976,31073
metis_unweighted,13517,28431
metis_unweighted,12972,31013
metis_unweighted,13074,31116
metis_unweighted,13580,29948
metis_unweighted,13522,31152
metis_unweighted,13262,31190
