method,core_n,n
metis,137581,228947
metis,139348,229017
metis,139815,231525
metis,136731,228372
metis,138470,228160
metis,138287,228862
metis,137904,230026
metis,138864,230265
grid,138975,248081
grid,138510,247506
grid,138675,247135
grid,138240,246635
grid,138525,247921
grid,138060,247330
grid,138225,246978
grid,137790,246461
metis_unweighted,138157,227614
metis_unweighted,138164,229430
metis_unweighted,140405,230643
metis_unweighted,137511,227671
metis_unweighted,138252,228372
metis_unweighted,138229,227099
metis_unweighted,138130,227800
metis_unweighted,138152,230783
metis,128795,182549
metis,127656,181483
metis,128008,182305
metis,127840,181818
metis,129084,182866
metis,126751,180552
metis,127411,180669
metis,128455,181815
grid,128006,234320
grid,128004,234320
grid,128000,234245
grid,128001,234245
grid,128003,234292
grid,128003,234292
grid,127994,234236
grid,127989,234221
metis_unweighted,128012,181090
metis_unweighted,128013,181721
metis_unweighted,127981,181056
metis_unweighted,128018,180961
metis_unweighted,128017,181507
metis_unweighted,128017,181951
metis_unweighted,127971,181740
metis_unweighted,127971,181681
metis,127258,208755
metis,127041,208821
metis,127379,207640
metis,128620,208328
metis,129190,212778
metis,128909,209543
metis,127900,207972
metis,125911,206983
grid,132660,244864
grid,131648,242776
grid,131648,243369
grid,130636,241246
grid,124828,233668
grid,123904,232327
grid,123904,233369
grid,122980,231828
metis_unweighted,127565,206086
metis_unweighted,126894,207896
metis_unweighted,127035,206016
metis_unweighted,127538,208275
metis_unweighted,129748,211761
metis_unweighted,128361,207059
metis_unweighted,127374,207764
metis_unweighted,127693,207132
metis,124350,237523
metis,123903,232986
metis,126600,232452
metis,121377,227708
metis,127133,236261
metis,126767,238481
metis,125173,229002
metis,124885,232387
grid,131072,244822
grid,126976,238127
grid,126976,238100
grid,123008,231030
grid,126976,238178
grid,123008,231023
grid,123008,230933
grid,119164,223653
metis_unweighted,127115,234071
metis_unweighted,125818,227732
metis_unweighted,123995,222364
metis_unweighted,124130,229748
metis_unweighted,124518,227353
metis_unweighted,126212,232510
metis_unweighted,124209,226487
metis_unweighted,124191,227710
metis,129440,224097
metis,126995,220243
metis,128280,218995
metis,131905,232222
metis,129413,222789
metis,127607,220852
metis,131030,226151
metis,129145,224013
grid,129447,230840
grid,129020,231708
grid,129873,230964
grid,129411,232013
grid,129046,230725
grid,128557,230894
grid,129464,230702
grid,128997,231323
metis_unweighted,129257,221657
metis_unweighted,129207,223450
metis_unweighted,129972,227383
metis_unweighted,129533,223587
metis_unweighted,127680,223013
metis_unweighted,129084,225693
metis_unweighted,129526,223991
metis_unweighted,129556,223891
metis,127520,190895
metis,128973,191310
metis,129560,192520
metis,127876,189949
metis,128359,191292
metis,128778,191634
metis,128854,191388
metis,129080,191293
grid,130461,240613
grid,129204,238293
grid,129239,238655
grid,128046,237164
grid,129274,239223
grid,128011,236843
grid,127976,236642
grid,126789,235402
metis_unweighted,129994,191851
metis_unweighted,128175,190610
metis_unweighted,130282,193305
metis_unweighted,126710,189373
metis_unweighted,129862,192398
metis_unweighted,129412,191473
metis_unweighted,128574,190330
metis_unweighted,125991,187513
metis,122264,235078
metis,124552,242194
metis,127235,238394
metis,124579,232476
metis,126232,236919
metis,123528,235076
metis,125385,241759
metis,126413,237806
grid,125883,250982
grid,125703,249879
grid,125530,250272
grid,125632,251482
grid,124248,248070
grid,124338,249781
grid,124329,247647
grid,124525,249879
metis_unweighted,125270,228623
metis_unweighted,125399,224649
metis_unweighted,127352,230427
metis_unweighted,124624,228195
metis_unweighted,125703,226913
metis_unweighted,124918,226520
metis_unweighted,123012,225207
metis_unweighted,123910,221867
metis,129459,225152
metis,130387,223414
metis,129278,225835
metis,132219,237130
metis,128186,228894
metis,126244,224996
metis,126502,226298
metis,124620,223989
grid,128512,237480
grid,126593,234829
grid,128755,238958
grid,128063,237831
grid,128760,238776
grid,127844,237641
grid,130106,241148
grid,128262,239673
metis_unweighted,128247,229108
metis_unweighted,128169,225363
metis_unweighted,128196,221250
metis_unweighted,128180,222794
metis_unweighted,129687,230731
metis_unweighted,128229,229003
metis_unweighted,128252,220571
metis_unweighted,127935,224483
metis,126641,211654
metis,127242,207283
metis,126727,208181
metis,126647,210269
metis,127673,210905
metis,127195,208371
metis,127872,207801
metis,129411,212209
grid,127486,232760
grid,127407,232627
grid,127439,232614
grid,127407,232556
grid,127484,232741
grid,127400,232607
grid,127409,232588
grid,127376,232525
metis_unweighted,128437,208786
metis_unweighted,126538,206522
metis_unweighted,128887,212346
metis_unweighted,127775,207986
metis_unweighted,125795,207213
metis_unweighted,128892,209606
metis_unweighted,126549,205583
metis_unweighted,126535,206829
metis,124954,202513
metis,128441,204609
metis,126579,207091
metis,125856,201954
metis,125262,203501
metis,126522,201202
metis,125632,204268
metis,125177,202498
grid,129340,245054
grid,122873,235906
grid,129700,245289
grid,123215,236125
grid,128860,244321
grid,122417,235219
grid,129240,244765
grid,122778,235633
metis_unweighted,126025,201479
metis_unweighted,126284,199542
metis_unweighted,126029,200188
metis_unweighted,126016,203836
metis_unweighted,126019,206402
metis_unweighted,126016,199007
metis_unweighted,126018,206073
metis_unweighted,126016,199067
