method,core_n,n
metis,133359,195271
metis,130324,193567
metis,130881,193405
metis,130390,194260
metis,130970,194282
metis,133434,197334
metis,129597,192114
metis,131669,194913
grid,131347,251973
grid,131310,251825
grid,131352,252003
grid,131306,251819
grid,131352,251986
grid,131306,251808
grid,131347,251986
grid,131304,251808
metis_unweighted,131141,193920
metis_unweighted,130925,192869
metis_unweighted,131065,193402
metis_unweighted,131154,193470
metis_unweighted,130924,193549
metis_unweighted,131737,194059
metis_unweighted,130627,193862
metis_unweighted,133051,195482
metis,138383,209971
metis,140671,213066
metis,138409,210108
metis,138682,210835
metis,139071,211085
metis,139181,211369
metis,139133,210651
metis,137790,210173
grid,139071,268770
grid,138994,268889
grid,139315,269629
grid,139172,269386
grid,138632,267251
grid,138530,267101
grid,138873,267809
grid,138733,267589
metis_unweighted,137878,210030
metis_unweighted,140101,212282
metis_unweighted,139833,212392
metis_unweighted,137572,209764
metis_unweighted,139996,212812
metis_unweighted,137946,210401
metis_unweighted,137961,210299
metis_unweighted,140033,212650
metis,132778,218543
metis,132535,221145
metis,134104,220141
metis,134978,225550
metis,133211,221199
metis,133562,219910
metis,133981,219642
metis,132593,221022
grid,133569,244405
grid,133421,243542
grid,133388,243146
grid,133495,244034
grid,133554,244105
grid,133421,243234
grid,133379,243350
grid,133515,244353
metis_unweighted,133836,218872
metis_unweighted,132948,221004
metis_unweighted,132859,221125
metis_unweighted,133830,218321
metis_unweighted,135089,220877
metis_unweighted,132976,218716
metis_unweighted,133219,218022
metis_unweighted,132985,218454
metis,134305,237531
metis,133627,239624
metis,132129,234537
metis,133266,235917
metis,137050,241761
metis,134426,239596
metis,130754,237828
metis,136318,240314
grid,134153,242189
grid,133847,241113
grid,134438,242364
grid,134115,241015
grid,133810,240597
grid,133525,240072
grid,134149,241577
grid,133838,240719
metis_unweighted,133138,234158
metis_unweighted,134377,234743
metis_unweighted,133050,233941
metis_unweighted,134784,237294
metis_unweighted,135007,235967
metis_unweighted,134501,238049
metis_unweighted,133554,235585
metis_unweighted,133464,234430
metis,128687,219436
metis,130701,225146
metis,132528,226404
metis,129862,222906
metis,127075,218931
metis,131224,221665
metis,131187,226608
metis,126966,217470
grid,129960,247993
grid,129749,245832
grid,129811,245973
grid,129755,245832
grid,129715,245801
grid,129737,245811
grid,129633,245898
grid,129870,247964
metis_unweighted,131809,223470
metis_unweighted,126342,220565
metis_unweighted,130723,223938
metis_unweighted,128554,218428
metis_unweighted,128434,222739
metis_unweighted,130723,222944
metis_unweighted,132102,228431
metis_unweighted,129543,221319
metis,125510,188260
metis,124196,187132
metis,124916,187662
metis,124714,187441
metis,125190,187912
metis,125153,187725
metis,125607,188438
metis,124714,187526
grid,127600,240264
grid,126300,237744
grid,123725,233748
grid,122525,232176
grid,127450,239878
grid,126150,237350
grid,123725,233748
grid,122525,232176
metis_unweighted,124993,186302
metis_unweighted,124990,186452
metis_unweighted,124987,186351
metis_unweighted,125003,186662
metis_unweighted,125022,186147
metis_unweighted,125005,186612
metis_unweighted,124997,186459
metis_unweighted,125003,186166
metis,128501,231159
metis,128583,230199
metis,129910,232626
metis,127597,228318
metis,127671,232571
metis,128010,229790
metis,129853,234135
metis,126307,225568
grid,131042,245336
grid,127906,240631
grid,128605,243146
grid,127656,240930
grid,129372,244349
grid,127666,241031
grid,127569,242984
grid,126616,240955
metis_unweighted,128302,230749
metis_unweighted,128299,228130
metis_unweighted,128279,228406
metis_unweighted,128309,230649
metis_unweighted,128290,230428
metis_unweighted,128300,233245
metis_unweighted,128355,227149
metis_unweighted,128298,228377
metis,125600,180438
metis,125536,184516
metis,125273,182263
metis,124600,182784
metis,125730,182043
metis,127239,182160
metis,126579,182379
metis,125679,181095
grid,126152,281306
grid,125651,280128
grid,125936,278300
grid,125381,277142
grid,125935,278313
grid,125392,277171
grid,126184,282232
grid,125605,280968
metis_unweighted,125853,179993
metis_unweighted,125514,178982
metis_unweighted,125776,180109
metis_unweighted,125764,180858
metis_unweighted,125773,180106
metis_unweighted,126126,183011
metis_unweighted,125490,180291
metis_unweighted,125940,181081
metis,133391,224736
metis,133516,223965
metis,133349,224984
metis,133749,223929
metis,133846,225455
metis,132662,222452
metis,133708,225176
metis,133521,225073
grid,133897,240446
grid,134618,238465
grid,133057,239477
grid,133812,238197
grid,133058,238885
grid,133819,237629
grid,132338,238725
grid,133143,238007
metis_unweighted,132280,220736
metis_unweighted,133582,230955
metis_unweighted,133568,222098
metis_unweighted,133638,225712
metis_unweighted,133782,225707
metis_unweighted,133646,225666
metis_unweighted,133660,229709
metis_unweighted,133586,224541
metis,129304,210839
metis,128429,209559
metis,129225,212028
metis,127103,209384
metis,128591,211037
metis,129179,211850
metis,128635,211868
metis,128534,209190
grid,128745,251869
grid,128505,253322
grid,128790,252560
grid,128461,251753
grid,128809,253031
grid,128443,251873
grid,128928,252822
grid,128319,253126
metis_unweighted,128686,209512
metis_unweighted,128696,209343
metis_unweighted,128691,209074
metis_unweighted,128665,209301
metis_unweighted,128634,210737
metis_unweighted,128621,209579
metis_unweighted,128376,209488
metis_unweighted,128631,208577
