method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,97315,19456,0.8000719313569337,25776,59251668,11.776835538142667,2505,2373,2432.0,43.41658669218482,73.0,12645,11652,12164.375,338.12051753036224,480.625
spectral,83488,19456,0.7669605212725182,26816,60786520,12.501919599925763,2720,2184,2432.0,191.4993472573732,288.0,11024,10112,10436.0,326.2146532576365,588.0
grid,107828,19456,0.8195644915977297,30123,68537792,13.889322113332698,2454,2408,2432.0,16.740669042783207,22.0,13513,13441,13478.5,32.449961479175904,34.5
metis_unweighted,100796,19456,0.8069764673201317,26327,60640492,12.000655531999946,2454,2409,2432.0,17.46424919657298,22.0,13061,12321,12599.5,266.5014071257411,461.5
metis,69353,20480,0.7046991478378729,22173,48712707,10.765593139580817,2613,2499,2560.0,41.5,53.0,8850,8503,8669.125,90.50612893611128,180.875
grid,100660,20480,0.7965428174051261,32500,75228004,14.772177903432354,2592,2524,2560.0,22.80350850198276,32.0,12693,12471,12582.5,90.00972169715891,110.5
metis_unweighted,69089,20480,0.7035707565603786,21656,49041167,10.115014331820552,2636,2504,2560.0,39.02242944769072,76.0,8852,8493,8636.125,115.86353772865733,215.875
metis,61979,15972,0.7422998112263831,18522,26652879,13.361337722966782,2056,1938,1996.5,55.41660400998964,59.5,8111,7306,7747.375,235.14141356851624,363.625
spectral,59611,15972,0.7320628743017228,17325,25322634,12.311864871070581,2036,1946,1996.5,25.83118270617898,39.5,7535,7370,7451.375,49.68887576711713,83.625
grid,100349,15972,0.8408354841602806,31897,47696339,22.205077743900134,2065,1900,1996.5,50.0349877585675,68.5,12779,12264,12543.625,170.54613562024792,235.375
metis_unweighted,61583,15972,0.7406427098387542,18100,26682236,12.753845356037328,2046,1938,1996.5,35.450669951356346,49.5,8037,7433,7697.875,204.16074396171268,339.125
metis,78376,21952,0.7199142594671838,24019,49050680,12.243168870386034,2826,2663,2744.0,58.35237784358063,82.0,10313,9579,9797.0,224.1656753385763,516.0
grid,106819,21952,0.7944934889860418,31431,63573878,16.294735907187366,2828,2681,2744.0,42.86607049870562,84.0,13556,13186,13352.375,130.2852039757393,203.625
metis_unweighted,78792,21952,0.7213930348258707,23944,49332189,12.057957042761963,2811,2663,2744.0,63.69065865572439,67.0,10102,9426,9849.0,197.88506765291817,253.0
metis,74402,19008,0.7445229966936373,23142,33221720,16.735359434333457,2447,2312,2376.0,47.0,71.0,9422,9165,9300.25,92.37390053472896,121.75
spectral,75526,19008,0.7483250801048645,22703,32723076,16.35002579059844,2620,1772,2376.0,346.525973052526,244.0,9672,9273,9440.75,149.40109604684966,231.25
grid,120226,19008,0.8418977592201354,35182,50750574,25.273559048874496,2442,2317,2376.0,48.68778080791935,66.0,15233,14845,15028.25,145.11008751978616,204.75
metis_unweighted,73318,19008,0.7407457923020268,22706,33007456,16.20819648102544,2447,2306,2376.0,44.4662793586331,71.0,9344,9050,9164.75,91.0463480871144,179.25
metis,61014,15744,0.7419608614416363,19668,43381801,9.411507349081477,2002,1945,1968.0,20.97021697551077,34.0,7775,7536,7626.75,72.21971683688604,148.25
spectral,59360,15744,0.7347708894878706,19632,43368156,9.351548993138438,1980,1956,1968.0,12.0,12.0,7460,7380,7420.0,40.0,40.0
grid,86170,15744,0.8172914007195079,32992,73237752,15.6045588852654,1975,1961,1968.0,4.47213595499958,7.0,10776,10764,10771.25,4.4651427748729375,4.75
metis_unweighted,61693,15744,0.7448008688181803,20127,44693702,9.558521371300019,2027,1910,1968.0,49.79959839195493,59.0,8012,7522,7711.625,170.90270441101862,300.375
metis,83115,16875,0.7969680563075258,23053,37116676,14.867236043375739,2171,2047,2109.375,59.230350117148554,61.625,11025,9615,10389.375,443.0064721592677,635.625
spectral,75821,16875,0.7774363303042693,23392,37618452,15.11046446253144,2160,2040,2109.375,32.637928472867266,50.625,9705,9240,9477.625,186.14036202554243,227.375
grid,95593,16875,0.8234703377862396,22238,35675404,14.340004416801252,2560,1715,2109.375,244.1111107160016,450.625,13086,10834,11949.125,650.6324687371512,1136.875
metis_unweighted,88688,16875,0.8097262312826989,22647,36428097,14.598630420331997,2135,2093,2109.375,14.9744574192189,25.625,11503,10274,11086.0,392.9017052648156,417.0
metis,95452,18634,0.8047814608389557,26827,41803034,17.87302026753576,2369,2295,2329.25,23.7841859225831,39.75,12133,11738,11931.5,140.62716664997558,201.5
spectral,93228,18634,0.8001244261380701,26276,41075104,17.426895887729913,2374,2299,2329.25,29.13653205170444,44.75,11789,11599,11653.5,65.72860868754184,135.5
grid,108103,18634,0.8276273553925423,33007,51467623,22.02812698666377,2360,2293,2329.25,22.911514572371683,30.75,13681,13393,13512.875,94.58255322732623,168.125
metis_unweighted,94437,18634,0.8026832703283671,25962,40817119,17.118936679836818,2353,2305,2329.25,16.953981833185974,23.75,12083,11503,11804.625,171.71701830337028,278.375
