method,core_n,n
metis,7695,16144
metis,7372,16936
metis,7764,16138
metis,7501,16650
metis,7783,16953
metis,7628,16183
metis,7635,17099
metis,7372,17356
grid,7620,35338
grid,7607,35319
grid,7578,34844
grid,7578,34965
grid,7578,34909
grid,7583,34791
grid,7602,35308
grid,7604,35292
metis_unweighted,7821,16180
metis_unweighted,7530,16696
metis_unweighted,7621,16101
metis_unweighted,7372,16565
metis_unweighted,7393,16519
metis_unweighted,7821,16183
metis_unweighted,7818,17160
metis_unweighted,7374,16516
metis,7494,25718
metis,7693,25691
metis,7739,26529
metis,7436,26336
metis,7787,26503
metis,7400,26131
metis,7398,25854
metis,7533,26790
grid,7608,28916
grid,7524,28881
grid,7599,28870
grid,7544,28905
grid,7608,28916
grid,7524,28881
grid,7569,28846
grid,7504,28881
metis_unweighted,7787,26888
metis_unweighted,7409,25785
metis_unweighted,7726,26619
metis_unweighted,7356,26008
metis_unweighted,7625,26463
metis_unweighted,7431,25815
metis_unweighted,7386,26091
metis_unweighted,7760,26194
metis,7900,20357
metis,7754,20544
metis,8006,20685
metis,7558,20525
metis,7714,20644
metis,8009,20662
metis,7653,20446
metis,7614,20479
grid,7920,28632
grid,7848,28399
grid,7848,28550
grid,7776,28317
grid,7776,28072
grid,7704,27839
grid,7704,27972
grid,7632,27739
metis_unweighted,7650,20059
metis_unweighted,7754,20238
metis_unweighted,8009,19190
metis_unweighted,8009,19157
metis_unweighted,7615,20381
metis_unweighted,7672,20417
metis_unweighted,7945,20698
metis_unweighted,7554,20062
metis,6749,19054
metis,7143,19486
metis,7126,19340
metis,6885,19469
metis,6743,19143
metis,6896,19313
metis,6870,19334
metis,7154,20071
grid,7623,25999
grid,7458,25728
grid,7084,24672
grid,6941,24187
grid,6930,24522
grid,6780,24265
grid,6440,23268
grid,6310,22811
metis_unweighted,6987,19251
metis_unweighted,6954,18250
metis_unweighted,6942,18111
metis_unweighted,6949,18356
metis_unweighted,6951,18011
metis_unweighted,6966,19144
metis_unweighted,6927,18406
metis_unweighted,6890,18001
metis,6765,13663
metis,6546,13248
metis,6943,13846
metis,6656,13320
metis,6642,13379
metis,6945,13654
metis,6546,13376
metis,6903,13630
grid,6896,27373
grid,6852,27366
grid,6865,27308
grid,6810,27120
grid,6667,27385
grid,6639,27286
grid,6626,27073
grid,6591,26951
metis_unweighted,6773,13439
metis_unweighted,6945,13639
metis_unweighted,6648,13411
metis_unweighted,6664,13336
metis_unweighted,6791,13452
metis_unweighted,6633,13322
metis_unweighted,6547,13204
metis_unweighted,6945,13524
metis,7046,23955
metis,7038,24184
metis,7202,24287
metis,7103,23824
metis,7009,23950
metis,7327,24713
metis,7236,24306
metis,7383,24633
grid,7168,27375
grid,7170,27375
grid,7191,27375
grid,7150,27253
grid,7170,27375
grid,7165,27344
grid,7182,27375
grid,7148,27299
metis_unweighted,7154,23882
metis_unweighted,7175,23946
metis_unweighted,7181,24344
metis_unweighted,7118,23989
metis_unweighted,7216,24249
metis_unweighted,7105,23471
metis_unweighted,7203,24068
metis_unweighted,7192,23724
metis,6975,19720
metis,7108,19644
metis,7077,20002
metis,6893,19432
metis,7061,19556
metis,6783,19683
metis,7197,20163
metis,6808,19311
grid,7094,26355
grid,7076,26325
grid,6972,26058
grid,6930,25859
grid,7041,26000
grid,7026,26018
grid,6899,25987
grid,6864,25958
metis_unweighted,7197,19733
metis_unweighted,6980,19480
metis_unweighted,6865,19283
metis_unweighted,7085,19490
metis_unweighted,6847,19113
metis_unweighted,6938,19263
metis_unweighted,6929,19193
metis_unweighted,7061,19525
metis,7162,19971
metis,6901,19449
metis,6934,19412
metis,7050,19812
metis,6972,19703
metis,7144,19886
metis,6960,19677
metis,6877,19019
grid,7040,25810
grid,7000,25626
grid,7040,25810
grid,6980,25620
grid,7010,25780
grid,6970,25596
grid,7010,25780
grid,6950,25590
metis_unweighted,7082,19719
metis_unweighted,7132,20017
metis_unweighted,6917,19528
metis_unweighted,7090,19405
metis_unweighted,6867,19231
metis_unweighted,6908,19192
metis_unweighted,7030,19707
metis_unweighted,6974,19369
metis,6343,17643
metis,6467,18043
metis,6290,18398
metis,6372,18158
metis,6674,18702
metis,6623,18595
metis,6545,18325
metis,6526,18108
grid,6780,25660
grid,6612,25092
grid,6636,25305
grid,6468,24725
grid,6468,24308
grid,6348,24307
grid,6324,23930
grid,6204,23905
metis_unweighted,6586,17941
metis_unweighted,6379,17699
metis_unweighted,6437,18149
metis_unweighted,6546,18021
metis_unweighted,6363,17944
metis_unweighted,6496,18110
metis_unweighted,6378,17419
metis_unweighted,6655,18525
metis,6685,20853
metis,6448,20752
metis,6711,20665
metis,6416,20455
metis,6429,20299
metis,6387,20588
metis,6484,20198
metis,6576,20824
grid,6538,25103
grid,6534,25088
grid,6513,25040
grid,6517,25048
grid,6506,25025
grid,6502,24977
grid,6512,25028
grid,6514,25040
metis_unweighted,6472,20614
metis_unweighted,6510,20375
metis_unweighted,6680,20917
metis_unweighted,6450,20280
metis_unweighted,6555,20516
metis_unweighted,6400,20277
metis_unweighted,6399,20379
metis_unweighted,6670,21078
