method,core_n,n
metis,6823,19785
metis,6812,19839
metis,6927,19658
metis,6987,19725
metis,6759,19856
metis,6830,19640
metis,7133,15821
metis,7133,16038
grid,6900,27958
grid,6885,27914
grid,6970,28464
grid,6957,28209
grid,6977,28414
grid,6962,28361
grid,6882,27957
grid,6871,27908
metis_unweighted,7095,15710
metis_unweighted,6751,15500
metis_unweighted,7022,15833
metis_unweighted,6994,15760
metis_unweighted,6942,15620
metis_unweighted,7111,15857
metis_unweighted,6766,15383
metis_unweighted,6723,15387
metis,7507,17696
metis,7676,17977
metis,7518,17739
metis,7662,17644
metis,7864,18069
metis,7909,18027
metis,7653,17630
metis,7651,17714
grid,7701,31351
grid,7664,31082
grid,7692,31343
grid,7664,31082
grid,7686,31261
grid,7682,31273
grid,7673,31273
grid,7678,31273
metis_unweighted,7763,18265
metis_unweighted,7636,18221
metis_unweighted,7753,18440
metis_unweighted,7741,18469
metis_unweighted,7804,18199
metis_unweighted,7493,17900
metis_unweighted,7566,18159
metis_unweighted,7684,18337
metis,7821,22414
metis,7434,22224
metis,7434,22553
metis,7427,21529
metis,7818,22167
metis,7673,22276
metis,7537,21932
metis,7606,22031
grid,7628,27825
grid,7571,27386
grid,7587,27322
grid,7602,27642
grid,7613,27650
grid,7572,27272
grid,7565,27370
grid,7612,27799
metis_unweighted,7539,22013
metis_unweighted,7821,22935
metis_unweighted,7731,22901
metis_unweighted,7494,22605
metis_unweighted,7638,22029
metis_unweighted,7492,21840
metis_unweighted,7639,22895
metis_unweighted,7396,22221
metis,6849,24153
metis,6909,24573
metis,6801,24350
metis,6706,24359
metis,7071,24632
metis,6730,24620
metis,6991,24290
metis,6868,24192
grid,6892,25813
grid,6850,25481
grid,6928,25715
grid,6878,25241
grid,6836,25322
grid,6804,25221
grid,6891,25600
grid,6846,25300
metis_unweighted,6953,24101
metis_unweighted,6688,22913
metis_unweighted,6853,23556
metis_unweighted,6931,24679
metis_unweighted,6971,24606
metis_unweighted,6816,23442
metis_unweighted,6917,24272
metis_unweighted,6796,23531
metis,7509,23953
metis,7435,23532
metis,7412,24657
metis,7124,23208
metis,7387,24419
metis,7190,23074
metis,7155,24159
metis,7108,23297
grid,7290,28743
grid,7308,28756
grid,7290,28743
grid,7273,28731
grid,7290,28743
grid,7308,28756
grid,7291,28743
grid,7270,28731
metis_unweighted,7242,23020
metis_unweighted,7246,23500
metis_unweighted,7353,23298
metis_unweighted,7260,23489
metis_unweighted,7274,23063
metis_unweighted,7206,23254
metis_unweighted,7453,23617
metis_unweighted,7286,23095
metis,7007,15912
metis,6702,15694
metis,6687,15524
metis,6990,15763
metis,6996,15760
metis,6661,15482
metis,6779,15720
metis,7050,16001
grid,7526,29111
grid,7332,28478
grid,6698,27123
grid,6526,26565
grid,7104,27843
grid,6918,27166
grid,6469,26225
grid,6299,25574
metis_unweighted,6842,15698
metis_unweighted,6821,15561
metis_unweighted,6935,15732
metis_unweighted,6914,15842
metis_unweighted,6946,15814
metis_unweighted,6658,15392
metis_unweighted,6783,15485
metis_unweighted,6973,15827
metis,7480,26417
metis,7460,26598
metis,7466,27058
metis,7772,26670
metis,7381,25904
metis,7610,26032
metis,7725,26759
metis,7474,26321
grid,7698,29475
grid,7659,29017
grid,7582,28878
grid,7600,28986
grid,7524,29027
grid,7425,28585
grid,7443,28637
grid,7437,28654
metis_unweighted,7513,26254
metis_unweighted,7517,26699
metis_unweighted,7598,26029
metis_unweighted,7591,25744
metis_unweighted,7566,26422
metis_unweighted,7425,25849
metis_unweighted,7588,26561
metis_unweighted,7570,26476
metis,7700,16935
metis,7710,17110
metis,7898,17143
metis,7633,17063
metis,7598,17063
metis,7465,16789
metis,7601,16584
metis,7911,17213
grid,7771,35343
grid,7699,35020
grid,7686,34637
grid,7603,34337
grid,7686,34632
grid,7603,34332
grid,7784,35570
grid,7684,35214
metis_unweighted,7920,17343
metis_unweighted,7484,17187
metis_unweighted,7879,16962
metis_unweighted,7882,17070
metis_unweighted,7710,17266
metis_unweighted,7711,16778
metis_unweighted,7465,16492
metis_unweighted,7465,16734
metis,7510,23118
metis,7708,23936
metis,7821,23996
metis,7569,22906
metis,7378,24884
metis,7372,25224
metis,7571,23193
metis,7821,23540
grid,7669,27314
grid,7806,26881
grid,7526,26849
grid,7599,26580
grid,7526,26821
grid,7674,26741
grid,7429,26755
grid,7521,26797
metis_unweighted,7586,22492
metis_unweighted,7593,22881
metis_unweighted,7635,22865
metis_unweighted,7575,22429
metis_unweighted,7597,23508
metis_unweighted,7591,23030
metis_unweighted,7598,22942
metis_unweighted,7575,23027
metis,6588,19546
metis,6573,19371
metis,6449,19337
metis,6670,19805
metis,6398,19507
metis,6789,19716
metis,6514,19147
metis,6747,20098
grid,6811,29089
grid,6378,28120
grid,6778,29010
grid,6413,28188
grid,6834,29078
grid,6344,27949
grid,6756,28869
grid,6414,28091
metis_unweighted,6562,19497
metis_unweighted,6638,19787
metis_unweighted,6648,19882
metis_unweighted,6509,19934
metis_unweighted,6702,19572
metis_unweighted,6515,19579
metis_unweighted,6578,19722
metis_unweighted,6576,19585
