method,core_n,n
metis,1992,7286
metis,2112,7406
metis,2087,7395
metis,2017,7341
metis,2053,7350
metis,2051,7369
metis,1992,7317
metis,2112,7431
spectral,1410,7590
spectral,1434,7776
spectral,2736,8064
spectral,2496,7740
spectral,2736,8064
spectral,2736,8064
spectral,1458,7776
spectral,1410,7590
grid,2058,12886
grid,2051,12790
grid,2052,12878
grid,2049,12793
grid,2056,12878
grid,2048,12779
grid,2056,12920
grid,2046,12760
metis_unweighted,2113,7339
metis_unweighted,2113,7441
metis_unweighted,1992,7208
metis_unweighted,2080,7370
metis_unweighted,1992,7299
metis_unweighted,1992,7335
metis_unweighted,2113,7423
metis_unweighted,2021,7304
metis,1823,6804
metis,1830,6912
metis,1871,6065
metis,1931,6433
metis,1859,6134
metis,1898,6000
metis,1879,6185
metis,1909,5995
spectral,1335,6766
spectral,2000,6000
spectral,2000,6000
spectral,2131,6385
spectral,2000,6000
spectral,2000,6000
spectral,2140,6500
spectral,1394,6775
grid,1888,11401
grid,1885,11434
grid,1898,11404
grid,1880,11408
grid,1862,11443
grid,1856,11479
grid,1872,11483
grid,1859,11481
metis_unweighted,1840,5967
metis_unweighted,1916,6559
metis_unweighted,1915,7055
metis_unweighted,1820,6866
metis_unweighted,1821,7185
metis_unweighted,1826,6739
metis_unweighted,1931,6395
metis_unweighted,1931,5996
metis,2257,11279
metis,2264,11233
metis,2311,11111
metis,2185,11337
metis,2192,11364
metis,2184,11088
metis,2290,11387
metis,2317,11515
spectral,2252,12180
spectral,2210,11990
spectral,2250,12180
spectral,2210,11990
spectral,2260,12060
spectral,2258,12060
spectral,2280,12090
spectral,2280,12090
grid,2252,14873
grid,2250,14840
grid,2250,14851
grid,2249,14840
grid,2254,14869
grid,2248,14840
grid,2248,14847
grid,2249,14840
metis_unweighted,2261,11435
metis_unweighted,2286,11563
metis_unweighted,2189,11214
metis_unweighted,2259,11367
metis_unweighted,2229,11383
metis_unweighted,2317,11410
metis_unweighted,2268,11305
metis_unweighted,2191,11148
metis,2222,14532
metis,2346,15148
metis,2252,14881
metis,2255,14774
metis,2252,14645
metis,2318,14767
metis,2268,14523
metis,2312,14956
spectral,2265,14338
spectral,2271,14426
spectral,2282,14448
spectral,2282,14383
spectral,2272,14339
spectral,2285,14477
spectral,2267,14332
spectral,2301,14443
grid,2300,16185
grid,2275,16042
grid,2300,16087
grid,2280,15996
grid,2268,15923
grid,2249,15870
grid,2285,16030
grid,2268,15962
metis_unweighted,2322,14987
metis_unweighted,2252,14685
metis_unweighted,2211,14457
metis_unweighted,2346,14892
metis_unweighted,2211,14454
metis_unweighted,2317,15063
metis_unweighted,2244,14641
metis_unweighted,2322,15040
metis,2223,14620
metis,2097,14729
metis,2149,13987
metis,2152,13595
metis,2096,14074
metis,2176,14632
metis,2224,15084
metis,2163,15054
spectral,2145,15053
