method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,351866,225008,0.3605292924010845,76549,116554920,52.172862916108976,28734,27311,28126.0,561.1448119692456,608.0,44689,42859,43983.25,545.2017401843101,705.75
grid,609102,225008,0.6305906071561085,184878,286672707,123.56677958345331,28256,28000,28126.0,81.40178130729082,130.0,76192,76084,76137.75,43.79711748505831,54.25
metis_unweighted,349032,225008,0.3553370464599234,74377,113598236,50.53759749110278,28770,27392,28126.0,605.1522535692981,644.0,44166,43024,43629.0,440.40265666773627,537.0
metis,430288,202612,0.5291246792845722,117513,162312341,87.72508770942926,26007,24657,25326.5,482.7429440188639,680.5,54637,52651,53786.0,706.8093802433581,851.0
grid,510310,202612,0.6029629049009425,165252,235512998,119.85689717725747,25671,25070,25326.5,191.0817887711961,344.5,64647,62623,63788.75,648.32741535431,858.25
metis_unweighted,430109,202612,0.5289287134191566,118270,165097964,87.42580382887877,25558,25266,25326.5,88.79470704946326,231.5,55135,52673,53763.625,722.3887349446973,1371.375
metis,492675,219006,0.5554757192875628,125181,295479514,54.72694359933113,28198,26577,27375.75,571.8908877574463,822.25,62686,60562,61584.375,665.7546352636232,1101.625
grid,519491,219006,0.5784219553370511,156854,370923765,69.11686822792737,28042,26721,27375.75,438.73732175414483,666.25,67237,62875,64936.375,1309.4909256558444,2300.625
metis_unweighted,491898,219006,0.5547735506141517,125663,297403943,54.79219047502926,27721,27281,27375.75,141.17608685609613,345.25,62688,60678,61487.25,646.3713619120203,1200.75
metis,495837,219006,0.5583104931661009,107298,338323371,35.83495326271454,28176,26794,27375.75,459.93606892697596,800.25,62938,60583,61979.625,727.3221324660759,958.375
grid,548880,219006,0.6009947529514648,159293,522689929,51.11716061838971,27744,26973,27375.75,223.43777097885666,368.25,69617,67358,68610.0,770.8115852787892,1007.0
metis_unweighted,490260,219006,0.5532860115040998,105893,336655618,34.96174276592125,27943,26974,27375.75,362.0192501787716,567.25,62203,59951,61282.5,690.2037742580085,920.5
metis,444045,219488,0.5057077548446667,104644,185373750,62.198903157814584,28260,26635,27436.0,456.1452619506203,824.0,56657,53948,55505.625,781.1841872279546,1151.375
grid,573095,219488,0.6170128861707047,175278,307422625,105.03003334209876,27666,27175,27436.0,146.186524686785,230.0,72033,71227,71636.875,286.6389006659773,396.125
metis_unweighted,446287,219488,0.5081909175037588,105133,187482444,62.02475714542127,28065,26725,27436.0,454.96538329855383,629.0,56835,54877,55785.875,618.8429601886088,1049.125
metis,499554,210912,0.5777993970621794,135149,219629704,86.98531255227547,27156,25657,26364.0,474.8194393661658,792.0,63429,61570,62444.25,668.1498241412625,984.75
grid,493301,210912,0.5724476536637875,163065,261605253,106.40215747105684,26835,25906,26364.0,277.1281292110204,471.0,61851,61392,61662.625,152.08956037480021,188.375
metis_unweighted,505423,210912,0.5827020139566265,137447,224317257,88.0674459948427,26371,26350,26364.0,6.06217782649107,7.0,64611,61583,63177.875,925.6726523858205,1433.125
metis,505092,206763,0.5906428927799292,131877,188296241,96.40740067473531,26622,25310,25845.375,443.76962984751447,776.625,64802,61869,63136.5,856.6411150534394,1665.5
grid,525929,206763,0.6068613824299478,142392,199563151,106.22642471851381,26323,25664,25845.375,203.72281260330175,477.625,66445,65454,65741.125,312.66812977180774,703.875
metis_unweighted,509969,206763,0.5945577084097269,130650,187156908,95.14417423054151,26142,25645,25845.375,187.97735069683262,296.625,64149,63439,63746.125,257.7578502684254,402.875
metis,527280,202612,0.6157411621908664,117756,141308148,102.0623377148712,25963,24623,25326.5,477.362545661052,636.5,67647,63584,65910.0,1270.948956488812,1737.0
grid,534239,202612,0.6207465198160373,114858,141034680,97.97822319200108,27436,23328,25326.5,1186.0218168313768,2109.5,70898,62768,66779.875,2358.8508026950326,4118.125
metis_unweighted,503203,202612,0.5973553416811903,119126,145171154,102.02472783870091,25936,24799,25326.5,485.2749220802575,609.5,65020,61179,62900.375,1419.8176764553257,2119.625
metis,588680,232000,0.6058979411564857,154257,222384823,112.32907847207184,29871,28383,29000.0,474.36483849459165,871.0,76306,72199,73585.0,1134.9452629972955,2721.0
grid,643849,232000,0.6396670647931425,196540,288642982,140.45601681889696,29237,28709,29000.0,198.76304988603894,237.0,81118,79981,80481.125,342.4377452545207,636.875
metis_unweighted,583334,232000,0.6022861688158071,153279,222441905,110.89124236653007,29645,28309,29000.0,473.4186836194786,645.0,74982,71385,72916.75,1155.6121483871655,2065.25
metis,430648,212960,0.5054894020174249,108970,379570360,32.15407069693816,26985,26128,26620.0,276.12089743443903,365.0,54873,53116,53831.0,613.2933637338659,1042.0
grid,531478,212960,0.5993060860468354,140903,492061230,41.1494694443826,26755,26486,26620.0,121.42281498960564,135.0,67075,65765,66434.75,558.2583967124901,640.25
metis_unweighted,431823,212960,0.5068349763676321,111242,393156878,32.45387010489939,27370,26053,26620.0,520.6126199008241,750.0,55287,53085,53977.875,834.3345308537816,1309.125
