method,core_n,n
metis,136931,242975
metis,137152,244594
metis,139244,245331
metis,138270,246839
metis,136742,241986
metis,139038,248680
metis,138843,244781
metis,140780,249358
grid,138975,268034
grid,138510,266960
grid,138675,268031
grid,138240,266881
grid,138525,265144
grid,138060,264067
grid,138225,265141
grid,137790,263988
metis_unweighted,137982,246436
metis_unweighted,138706,246124
metis_unweighted,138769,246699
metis_unweighted,136860,242259
metis_unweighted,139428,246385
metis_unweighted,137982,244736
metis_unweighted,141292,251537
metis_unweighted,135981,242556
metis,128355,219754
metis,127553,219098
metis,127775,220735
metis,128024,219175
metis,128715,220561
metis,126529,216298
metis,127580,218836
metis,129469,224005
grid,128007,290340
grid,128003,290307
grid,128006,290280
grid,127986,290192
grid,128003,290268
grid,128003,290268
grid,128003,290255
grid,127989,290175
metis_unweighted,127457,217480
metis_unweighted,127407,217940
metis_unweighted,127501,217808
metis_unweighted,128014,217997
metis_unweighted,128750,218880
metis_unweighted,128746,219621
metis_unweighted,128719,218667
metis_unweighted,127406,219306
metis,127551,214098
metis,127744,208661
metis,128939,215307
metis,129191,211054
metis,127856,210768
metis,127855,211831
metis,126114,210535
metis,126958,208526
grid,132660,251881
grid,131648,249868
grid,131648,249176
grid,130636,247009
grid,124828,239405
grid,123904,237800
grid,123904,237490
grid,122980,235779
metis_unweighted,127957,212223
metis_unweighted,127954,212278
metis_unweighted,127915,212432
metis_unweighted,127958,212082
metis_unweighted,127613,212255
metis_unweighted,127609,212502
metis_unweighted,127599,210514
metis_unweighted,127603,212101
metis,125026,223057
metis,125026,221302
metis,125013,221533
metis,125037,221800
metis,125016,220314
metis,125007,222263
metis,125036,220297
metis,125027,224488
grid,131072,240352
grid,126976,234096
grid,126976,234096
grid,123008,228000
grid,126976,234096
grid,123008,228000
grid,123008,228000
grid,119164,222060
metis_unweighted,125020,223339
metis_unweighted,125019,224541
metis_unweighted,125035,221403
metis_unweighted,125016,224335
metis_unweighted,125019,221551
metis_unweighted,125020,225988
metis_unweighted,125037,223917
metis_unweighted,125022,221344
metis,128651,268427
metis,131951,272569
metis,128844,267374
metis,129176,268036
metis,129311,267053
metis,129311,264714
metis,128387,265394
metis,128184,265836
grid,129444,282316
grid,129023,282020
grid,129854,283882
grid,129429,283222
grid,129035,282122
grid,128568,281676
grid,129449,283106
grid,129013,282575
metis_unweighted,128698,266189
metis_unweighted,128476,263290
metis_unweighted,126561,261283
metis_unweighted,128016,264192
metis_unweighted,131040,265540
metis_unweighted,130662,267579
metis_unweighted,132417,269820
metis_unweighted,127945,267587
metis,128604,220445
metis,127872,221144
metis,128079,223390
metis,127958,222264
metis,130932,223283
metis,127899,220224
metis,128637,221175
metis,129019,223730
grid,130461,305481
grid,129204,302779
grid,129239,303490
grid,128046,301715
grid,129274,304908
grid,128011,302185
grid,127976,301105
grid,126789,299675
metis_unweighted,130141,224423
metis_unweighted,127326,220457
metis_unweighted,127394,222295
metis_unweighted,127832,220944
metis_unweighted,130043,224407
metis_unweighted,129499,223066
metis_unweighted,127712,220839
metis_unweighted,129053,221326
metis,125024,221737
metis,125021,219751
metis,125025,221929
metis,125025,223037
metis,125027,219906
metis,125024,221195
metis,125022,221966
metis,125020,221834
grid,125642,233079
grid,125432,232202
grid,125290,232705
grid,125358,232422
grid,124500,231305
grid,124620,231533
grid,124656,231179
grid,124690,231129
metis_unweighted,125029,220517
metis_unweighted,125010,221362
metis_unweighted,125021,220997
metis_unweighted,125017,222166
metis_unweighted,125036,221532
metis_unweighted,125032,222585
metis_unweighted,125016,220968
metis_unweighted,125027,219155
metis,128360,225031
metis,128365,224187
metis,128361,224392
metis,128364,225084
metis,128361,222207
metis,128347,224384
metis,128370,223386
metis,128367,222081
grid,128504,249794
grid,126602,247350
grid,128680,249314
grid,128149,248810
grid,128598,248420
grid,128005,247955
grid,129941,248083
grid,128416,247314
metis_unweighted,128355,225510
metis_unweighted,128365,222257
metis_unweighted,128358,225935
metis_unweighted,128352,222583
metis_unweighted,128367,223302
metis_unweighted,128371,222501
metis_unweighted,128359,223152
metis_unweighted,128368,223736
metis,127609,239578
metis,126945,242408
metis,127208,239575
metis,125495,240701
metis,127623,241254
metis,129372,243881
metis,127606,242468
metis,127550,240515
grid,127479,283263
grid,127399,283190
grid,127469,283248
grid,127394,283190
grid,127479,283255
grid,127393,283190
grid,127440,283255
grid,127355,283190
metis_unweighted,129287,240334
metis_unweighted,126169,243494
metis_unweighted,127759,242696
metis_unweighted,129562,247369
metis_unweighted,126334,237700
metis_unweighted,126346,240672
metis_unweighted,124929,238428
metis_unweighted,129022,241116
metis,126419,213875
metis,126429,216165
metis,126426,210826
metis,125233,216422
metis,125854,213315
metis,126413,217436
metis,125243,213362
metis,126406,217198
grid,129280,264769
grid,122816,255110
grid,129700,267203
grid,123215,257436
grid,128920,262775
grid,122474,253214
grid,129240,264759
grid,122778,255100
metis_unweighted,126042,213102
metis_unweighted,126063,217004
metis_unweighted,126046,213691
metis_unweighted,126060,214664
metis_unweighted,126044,213484
metis_unweighted,126062,215571
metis_unweighted,126059,212824
metis_unweighted,126047,215802
