method,core_n,n
metis,25333,48264
metis,25326,48852
metis,25328,48930
metis,25323,48796
metis,25324,48978
metis,25329,49446
metis,25329,49436
metis,25320,51108
grid,25769,56329
grid,25168,55052
grid,25476,55175
grid,25161,54672
grid,25565,55286
grid,25190,54711
grid,25201,54846
grid,25082,54914
metis_unweighted,25328,48351
metis_unweighted,25327,48808
metis_unweighted,25327,49220
metis_unweighted,25325,49835
metis_unweighted,25328,48059
metis_unweighted,25325,49584
metis_unweighted,25326,48691
metis_unweighted,25326,48473
metis,27073,52906
metis,25996,50874
metis,25664,49704
metis,26269,51705
metis,27156,52044
metis,25876,50576
metis,26037,50264
metis,26841,53104
grid,26637,76306
grid,26299,75795
grid,26442,75405
grid,26104,74840
grid,26598,76267
grid,26260,75745
grid,26455,76124
grid,26117,75602
metis_unweighted,26329,51420
metis_unweighted,26287,51442
metis_unweighted,27005,51513
metis_unweighted,26633,50947
metis_unweighted,26161,50054
metis_unweighted,26636,51296
metis_unweighted,26235,50683
metis_unweighted,25626,50438
metis,25163,43109
metis,25334,43431
metis,26698,44693
metis,26698,44399
metis,25621,43125
metis,26304,43920
metis,25622,43429
metis,25920,43872
grid,26110,82590
grid,26025,82524
grid,26095,82537
grid,26026,82537
grid,25821,82279
grid,25742,82211
grid,25811,82297
grid,25730,82225
metis_unweighted,25978,44046
metis_unweighted,25980,44061
metis_unweighted,25398,43453
metis_unweighted,25323,43429
metis_unweighted,25975,43938
metis_unweighted,25454,43393
metis_unweighted,26622,44551
metis_unweighted,26630,44585
metis,26457,80501
metis,26462,79347
metis,26379,79074
metis,26408,80474
metis,27517,78542
metis,27540,76739
metis,26971,80816
metis,26641,80641
grid,28836,83433
grid,27864,81164
grid,27234,80133
grid,26316,77949
grid,27234,80133
grid,26316,77949
grid,25721,76962
grid,24854,74860
metis_unweighted,26899,76352
metis_unweighted,26894,75722
metis_unweighted,26887,80574
metis_unweighted,26653,80295
metis_unweighted,26629,80416
metis_unweighted,26625,80724
metis_unweighted,26885,75905
metis_unweighted,26903,76033
metis,28122,71366
metis,27120,69864
metis,27898,70528
metis,26643,71007
metis,26874,70488
metis,27300,69933
metis,27987,72830
metis,27576,71536
grid,27491,75677
grid,27475,75706
grid,27519,75808
grid,27496,75822
grid,27389,75267
grid,27405,75572
grid,27361,75252
grid,27384,75377
metis_unweighted,27511,71480
metis_unweighted,27009,69760
metis_unweighted,27452,72906
metis_unweighted,27919,73058
metis_unweighted,27938,71694
metis_unweighted,26673,70957
metis_unweighted,28258,72982
metis_unweighted,26760,70783
metis,26858,71836
metis,27458,72805
metis,27405,73195
metis,27835,73975
metis,27783,73284
metis,26705,71558
metis,27990,73473
metis,27486,72736
grid,27860,85758
grid,27566,85184
grid,27650,84950
grid,27356,84329
grid,27426,84887
grid,27132,84215
grid,27412,84465
grid,27118,83787
metis_unweighted,27067,71292
metis_unweighted,27068,72329
metis_unweighted,27407,72739
metis_unweighted,27152,73225
metis_unweighted,27786,73500
metis_unweighted,27476,74237
metis_unweighted,27917,73727
metis_unweighted,27647,72504
metis,28735,62259
metis,28487,62607
metis,29238,64084
metis,28874,62744
metis,29236,63159
metis,29944,65274
metis,28898,63921
metis,29868,64631
grid,29358,84618
grid,29196,84318
grid,29205,84591
grid,29043,84291
grid,29259,84534
grid,29097,84234
grid,29142,84566
grid,28980,84266
metis_unweighted,28511,62648
metis_unweighted,28597,62966
metis_unweighted,29077,63182
metis_unweighted,29379,64195
metis_unweighted,29957,64934
metis_unweighted,29914,64647
metis_unweighted,29082,63539
metis_unweighted,28763,64052
metis,27354,90244
metis,27527,91432
metis,28034,92060
metis,27525,91212
metis,27351,90590
metis,27394,90387
metis,28001,90960
metis,27998,91723
grid,27855,100174
grid,27573,98818
grid,27735,100174
grid,27449,98818
grid,27849,100174
grid,27555,98818
grid,27729,100174
grid,27439,98814
metis_unweighted,27964,92291
metis_unweighted,27897,91325
metis_unweighted,27864,92785
metis_unweighted,27110,90535
metis_unweighted,27905,92951
metis_unweighted,27256,91189
metis_unweighted,27966,92958
metis_unweighted,27222,92281
metis,27446,59616
metis,27442,58225
metis,27427,58339
metis,27437,58651
metis,27437,59424
metis,27447,58556
metis,27443,59826
metis,27441,58679
grid,27636,67690
grid,27244,67418
grid,27650,67704
grid,27258,67432
grid,27692,67761
grid,27300,67494
grid,27566,67690
grid,27174,67418
metis_unweighted,27164,57518
metis_unweighted,27158,58275
metis_unweighted,27162,57479
metis_unweighted,27169,58295
metis_unweighted,27708,60631
metis_unweighted,27719,58528
metis_unweighted,27719,58576
metis_unweighted,27721,58900
metis,26841,73193
metis,26556,70799
metis,27015,71749
metis,28165,75452
metis,26546,70940
metis,27883,74238
metis,27842,73878
metis,27902,74453
grid,27623,95149
grid,27574,94672
grid,27493,94588
grid,27382,94708
grid,27288,95267
grid,27092,94713
grid,27227,94996
grid,27071,94435
metis_unweighted,27398,74324
metis_unweighted,27219,73049
metis_unweighted,27573,75479
metis_unweighted,27517,73420
metis_unweighted,27168,75114
metis_unweighted,26704,71630
metis_unweighted,27802,77378
metis_unweighted,27369,72545
