method,core_n,n
metis,14011,36449
metis,14308,35578
metis,14008,34783
metis,14307,35990
metis,13536,34081
metis,13486,36067
metis,13844,36307
metis,13632,35431
grid,14233,41083
grid,13980,40518
grid,14012,40698
grid,13782,40355
grid,13991,40215
grid,13782,40245
grid,13771,39887
grid,13581,39985
metis_unweighted,13752,35072
metis_unweighted,13752,35184
metis_unweighted,13752,34137
metis_unweighted,13748,34853
metis_unweighted,13984,34581
metis_unweighted,13969,34497
metis_unweighted,14091,35772
metis_unweighted,14084,35564
metis,13534,33365
metis,13607,33135
metis,13678,33915
metis,14114,34218
metis,14250,34580
metis,13642,33314
metis,14210,34571
metis,14340,34291
grid,14034,41764
grid,14079,41467
grid,13957,41507
grid,14005,41187
grid,13835,41384
grid,13865,41262
grid,13783,41428
grid,13817,41300
metis_unweighted,13944,34149
metis_unweighted,14147,34097
metis_unweighted,13939,33564
metis_unweighted,13938,34040
metis_unweighted,13561,33023
metis_unweighted,13848,33335
metis_unweighted,13943,34058
metis_unweighted,14055,34033
metis,12464,24484
metis,12999,25054
metis,13049,25395
metis,13133,25520
metis,12378,24835
metis,12378,24749
metis,13009,25182
metis,12590,24753
grid,12758,44952
grid,12746,44946
grid,12756,44920
grid,12744,44911
grid,12756,44906
grid,12742,44904
grid,12758,44920
grid,12740,44915
metis_unweighted,12674,24666
metis_unweighted,13062,24965
metis_unweighted,13133,24907
metis_unweighted,12378,24514
metis_unweighted,12465,24339
metis_unweighted,12378,24334
metis_unweighted,12867,24959
metis_unweighted,13043,25106
metis,12467,28674
metis,13012,29470
metis,12568,28892
metis,12798,29456
metis,13012,29305
metis,12374,28862
metis,12545,29300
metis,12286,28734
grid,12860,40674
grid,12666,39780
grid,12698,40614
grid,12476,39252
grid,12698,40020
grid,12580,39776
grid,12613,40393
grid,12471,39735
metis_unweighted,12761,29138
metis_unweighted,12933,29240
metis_unweighted,12638,29162
metis_unweighted,12903,29769
metis_unweighted,12361,28451
metis_unweighted,12387,28260
metis_unweighted,12339,28498
metis_unweighted,12740,29090
metis,13116,32661
metis,13116,32221
metis,13584,33466
metis,13803,34559
metis,13402,33175
metis,13916,34694
metis,13349,33051
metis,13800,33861
grid,13553,40027
grid,13465,39651
grid,13531,39845
grid,13496,39833
grid,13536,39900
grid,13508,39804
grid,13500,39724
grid,13497,40018
metis_unweighted,13314,33672
metis_unweighted,13864,34403
metis_unweighted,13903,34139
metis_unweighted,13718,34191
metis_unweighted,13716,34152
metis_unweighted,13116,33343
metis_unweighted,13329,33111
metis_unweighted,13126,33014
metis,14628,35089
metis,15181,36277
metis,14525,35745
metis,14437,34838
metis,14309,35162
metis,14835,37204
metis,15181,36497
metis,14816,36316
grid,14820,43085
grid,14658,41926
grid,14829,43183
grid,14683,42202
grid,14835,42940
grid,14694,42232
grid,14761,42960
grid,14632,42291
metis_unweighted,15175,35152
metis_unweighted,15062,35361
metis_unweighted,14906,35547
metis_unweighted,15001,34688
metis_unweighted,14567,34291
metis_unweighted,14570,35288
metis_unweighted,14321,35190
metis_unweighted,14310,34681
metis,14742,37075
metis,15011,37943
metis,14481,37545
metis,14207,36370
metis,14489,37022
metis,14244,37011
metis,14611,37254
metis,14855,38194
grid,14581,43588
grid,14582,43588
grid,14581,43588
grid,14577,43588
grid,14581,43588
grid,14578,43588
grid,14580,43588
grid,14580,43588
metis_unweighted,14591,36514
metis_unweighted,14578,36929
metis_unweighted,14578,36618
metis_unweighted,14579,37410
metis_unweighted,14577,36541
metis_unweighted,14579,37020
metis_unweighted,14581,37180
metis_unweighted,14577,36813
metis,14448,43314
metis,15038,44699
metis,15294,46148
metis,15294,45788
metis,14488,43259
metis,14613,45175
metis,15107,45304
metis,14502,44485
grid,15157,47807
grid,14796,46145
grid,15013,46989
grid,14674,45777
grid,15027,46841
grid,14684,45834
grid,14802,46172
grid,14631,45183
metis_unweighted,15029,45029
metis_unweighted,15120,44972
metis_unweighted,14900,43599
metis_unweighted,15033,43643
metis_unweighted,14438,42719
metis_unweighted,14876,44933
metis_unweighted,14547,43726
metis_unweighted,14841,44818
metis,16078,43339
metis,15894,43390
metis,15991,42894
metis,16015,43785
metis,15934,42872
metis,15735,43208
metis,15920,43543
metis,16305,43741
grid,16036,46812
grid,15964,46794
grid,16014,46722
grid,15940,46698
grid,16028,46774
grid,15956,46756
grid,16002,46692
grid,15932,46680
metis_unweighted,15694,41869
metis_unweighted,15618,41471
metis_unweighted,15637,40492
metis_unweighted,15728,41085
metis_unweighted,16381,41650
metis_unweighted,16040,42489
metis_unweighted,16464,41903
metis_unweighted,16310,42206
metis,13576,34289
metis,14277,34963
metis,14190,34618
metis,14308,34986
metis,13702,34989
metis,13488,34190
metis,14048,34802
metis,13543,34040
grid,14795,44229
grid,14542,43436
grid,14542,43191
grid,14333,42823
grid,13450,41603
grid,13220,40876
grid,13220,40623
grid,13030,40315
metis_unweighted,14016,33371
metis_unweighted,13964,33598
metis_unweighted,14180,33716
metis_unweighted,14150,33683
metis_unweighted,13924,33153
metis_unweighted,13723,32938
metis_unweighted,13486,33373
metis_unweighted,13689,32685
