method,core_n,n
metis,12929,26059
metis,13024,25538
metis,12275,31509
metis,12275,30858
metis,13024,25841
metis,13024,26346
metis,12305,30646
metis,12300,30679
grid,12609,42252
grid,12601,42198
grid,12692,42838
grid,12680,42564
grid,12711,42689
grid,12695,42774
grid,12594,42268
grid,12574,42196
metis_unweighted,12503,25772
metis_unweighted,12533,25937
metis_unweighted,12980,25907
metis_unweighted,12687,25804
metis_unweighted,12923,26011
metis_unweighted,12769,25996
metis_unweighted,12306,25274
metis_unweighted,12455,25666
metis,14982,31276
metis,15231,31528
metis,15026,31363
metis,14795,31116
metis,15011,31372
metis,14705,30925
metis,14800,31194
metis,15450,31379
grid,15027,49537
grid,14975,49223
grid,15025,49524
grid,14975,49223
grid,15011,49522
grid,14997,49443
grid,14997,49398
grid,14993,49410
metis_unweighted,15156,31562
metis_unweighted,14973,31361
metis_unweighted,14656,31134
metis_unweighted,15281,31533
metis_unweighted,15116,31538
metis_unweighted,15248,31679
metis_unweighted,14756,30746
metis_unweighted,14814,31080
metis,13088,33086
metis,13218,33095
metis,13085,32895
metis,13516,33634
metis,12905,33082
metis,12958,32989
metis,12739,32576
metis,13467,33727
grid,13137,40822
grid,13122,40764
grid,13126,40801
grid,13110,40766
grid,13132,40785
grid,13132,40781
grid,13109,40722
grid,13108,40670
metis_unweighted,13222,33247
metis_unweighted,13243,33694
metis_unweighted,12919,33153
metis_unweighted,13126,33733
metis_unweighted,13222,33386
metis_unweighted,13220,33382
metis_unweighted,12880,33238
metis_unweighted,13144,33826
metis,12625,37225
metis,12717,37213
metis,12503,38268
metis,13184,38604
metis,13018,38161
metis,12716,37581
metis,12665,37514
metis,12972,37623
grid,12864,38741
grid,12737,38559
grid,12865,38747
grid,12738,38549
grid,12864,38746
grid,12736,38556
grid,12863,38738
grid,12733,38563
metis_unweighted,12651,37588
metis_unweighted,12937,36940
metis_unweighted,12764,36788
metis_unweighted,12897,37477
metis_unweighted,12525,37093
metis_unweighted,12975,37053
metis_unweighted,12746,37481
metis_unweighted,12905,36597
metis,13709,36850
metis,13056,36592
metis,12921,36952
metis,13151,36374
metis,13708,37125
metis,13690,37764
metis,12975,35986
metis,13270,36279
grid,13313,43445
grid,13361,43552
grid,13351,43474
grid,13292,43249
grid,13307,43445
grid,13348,43543
grid,13270,43423
grid,13238,43188
metis_unweighted,13264,36363
metis_unweighted,13052,34992
metis_unweighted,13600,37126
metis_unweighted,13056,35386
metis_unweighted,13568,37569
metis_unweighted,13359,36482
metis_unweighted,13121,35377
metis_unweighted,13460,36350
metis,13815,28256
metis,14140,28603
metis,13778,28307
metis,13566,27896
metis,13783,28357
metis,13595,28121
metis,13797,28168
metis,14118,28589
grid,14412,44943
grid,14100,43951
grid,13560,43021
grid,13296,42586
grid,14412,44943
grid,14100,43951
grid,13488,42830
grid,13224,42387
metis_unweighted,13920,27840
metis_unweighted,13873,27865
metis_unweighted,13866,27835
metis_unweighted,13775,27722
metis_unweighted,13921,27819
metis_unweighted,13730,27643
metis_unweighted,13773,27696
metis_unweighted,13734,27773
metis,13755,39532
metis,13436,39672
metis,13916,40437
metis,13507,40196
metis,13116,38890
metis,13417,39169
metis,13615,39147
metis,13324,38722
grid,14009,44719
grid,13405,43198
grid,13590,44235
grid,13204,43177
grid,13855,44386
grid,13279,43282
grid,13571,43898
grid,13173,43235
metis_unweighted,13404,40004
metis_unweighted,13622,40381
metis_unweighted,13543,39836
metis_unweighted,13529,39243
metis_unweighted,13418,38925
metis_unweighted,13395,39819
metis_unweighted,13535,39756
metis_unweighted,13640,39243
metis,13992,28094
metis,14349,28295
metis,14235,27952
metis,14766,28177
metis,14623,28390
metis,14603,28196
metis,14070,27791
metis,14050,27291
grid,14400,56254
grid,14273,56066
grid,14400,56207
grid,14272,56028
grid,14401,56207
grid,14280,56049
grid,14399,56246
grid,14263,56009
metis_unweighted,14261,27575
metis_unweighted,14401,27953
metis_unweighted,14436,28237
metis_unweighted,14061,27601
metis_unweighted,14150,27385
metis_unweighted,14354,27931
metis_unweighted,14587,27990
metis_unweighted,14438,28330
metis,13516,35670
metis,13157,34923
metis,12878,34851
metis,13010,35444
metis,13425,35083
metis,13496,35930
metis,12755,36257
metis,12739,36454
grid,13304,40057
grid,13144,39704
grid,13278,39860
grid,13123,39609
grid,13102,39500
grid,12956,39173
grid,13128,39628
grid,12941,39170
metis_unweighted,13114,33936
metis_unweighted,13106,34195
metis_unweighted,13101,34302
metis_unweighted,13199,34464
metis_unweighted,13190,33965
metis_unweighted,13095,34830
metis_unweighted,13114,33743
metis_unweighted,13057,34122
metis,13468,33841
metis,13335,33222
metis,13693,33827
metis,13751,34216
metis,13083,33297
metis,13869,34608
metis,13504,34443
metis,13108,33307
grid,14178,48518
grid,13344,46641
grid,13869,47837
grid,13060,45954
grid,13879,48083
grid,13060,46201
grid,13575,48091
grid,12846,46348
metis_unweighted,13468,33503
metis_unweighted,13235,32972
metis_unweighted,13550,33253
metis_unweighted,13442,33329
metis_unweighted,13446,33611
metis_unweighted,13574,33910
metis_unweighted,13587,34010
metis_unweighted,13509,33752
