method,core_n,n
metis,13412,23023
metis,14052,23764
metis,13365,23425
metis,13245,23150
metis,13485,23276
metis,13754,23868
metis,13777,23757
metis,14052,23768
grid,13707,45581
grid,13604,45295
grid,13694,45870
grid,13631,45967
grid,13699,45861
grid,13622,45874
grid,13592,45294
grid,13593,45724
metis_unweighted,13610,23217
metis_unweighted,13542,23184
metis_unweighted,14022,23403
metis_unweighted,13385,22975
metis_unweighted,14052,23604
metis_unweighted,13287,23161
metis_unweighted,13910,23371
metis_unweighted,13334,22958
metis,13494,35714
metis,13498,34666
metis,13489,35699
metis,13490,36313
metis,13521,36583
metis,13497,36649
metis,13504,35637
metis,13507,36290
grid,13538,44506
grid,13515,44467
grid,13507,44448
grid,13535,44670
grid,13474,44306
grid,13487,44415
grid,13482,44462
grid,13462,44348
metis_unweighted,13506,35702
metis_unweighted,13498,35473
metis_unweighted,13501,35623
metis_unweighted,13497,35814
metis_unweighted,13490,35538
metis_unweighted,13505,35192
metis_unweighted,13501,35373
metis_unweighted,13502,35338
metis,13461,40773
metis,12958,40317
metis,12893,39449
metis,13411,40726
metis,12987,39710
metis,12917,39295
metis,12933,40320
metis,13416,40734
grid,13446,49871
grid,13122,48671
grid,13284,49435
grid,12960,48232
grid,13284,49473
grid,12960,48266
grid,13122,49024
grid,12798,47814
metis_unweighted,13334,40129
metis_unweighted,13211,39940
metis_unweighted,13063,39885
metis_unweighted,13007,39587
metis_unweighted,13223,39873
metis_unweighted,12973,39522
metis_unweighted,12859,39388
metis_unweighted,13306,40424
metis,13515,43264
metis,13340,43157
metis,12739,44854
metis,13217,45133
metis,13122,42428
metis,13415,42918
metis,12872,41368
metis,12756,42164
grid,13402,53689
grid,13222,53736
grid,13092,51935
grid,12977,52005
grid,13310,53324
grid,13094,52771
grid,13008,51653
grid,12871,51297
metis_unweighted,12880,43132
metis_unweighted,13137,43190
metis_unweighted,12826,41849
metis_unweighted,12863,41865
metis_unweighted,13426,42092
metis_unweighted,13416,41750
metis_unweighted,12993,43133
metis_unweighted,13435,43093
metis,13446,37389
metis,13833,38509
metis,13136,37662
metis,13318,37840
metis,13553,37856
metis,13615,38161
metis,13710,37978
metis,13389,37523
grid,13652,51346
grid,13541,51113
grid,13588,51071
grid,13444,50846
grid,13528,50894
grid,13444,50776
grid,13457,50734
grid,13346,50744
metis_unweighted,13679,38324
metis_unweighted,13844,39224
metis_unweighted,13699,38229
metis_unweighted,13804,37963
metis_unweighted,13199,37138
metis_unweighted,13106,37203
metis_unweighted,13237,37357
metis_unweighted,13432,37929
metis,16350,57653
metis,16451,59432
metis,16013,58020
metis,16451,59899
metis,15830,62871
metis,15631,60812
metis,15540,61295
metis,15510,61150
grid,16291,69310
grid,16104,68833
grid,16137,68983
grid,15961,68601
grid,15981,68668
grid,15794,67942
grid,15840,68334
grid,15668,67743
metis_unweighted,15927,61605
metis_unweighted,15929,62701
metis_unweighted,15774,60916
metis_unweighted,16058,60890
metis_unweighted,16064,62386
metis_unweighted,16066,62660
metis_unweighted,15822,61670
metis_unweighted,16136,62687
metis,13486,40186
metis,13478,40307
metis,13474,38782
metis,13474,39398
metis,13477,39573
metis,13474,39388
metis,13472,39801
metis,13476,39539
grid,13637,41322
grid,13515,41085
grid,13506,40894
grid,13411,40864
grid,13505,40907
grid,13408,40806
grid,13461,40914
grid,13368,41090
metis_unweighted,13478,40085
metis_unweighted,13474,39288
metis_unweighted,13480,39716
metis_unweighted,13481,39916
metis_unweighted,13480,39749
metis_unweighted,13472,40466
metis_unweighted,13472,39777
metis_unweighted,13474,39536
metis,13493,37872
metis,13491,38251
metis,13515,38375
metis,13490,37582
metis,13512,36920
metis,13486,36950
metis,13495,37924
metis,13518,37662
grid,14895,43319
grid,13935,41399
grid,13935,41399
grid,13035,39283
grid,13935,41399
grid,13035,39283
grid,13035,39283
grid,12195,37547
metis_unweighted,13479,36329
metis_unweighted,13470,35308
metis_unweighted,13498,37507
metis_unweighted,13490,37923
metis_unweighted,13501,37069
metis_unweighted,13508,37812
metis_unweighted,13527,36727
metis_unweighted,13527,36375
metis,14788,38594
metis,14893,39367
metis,14896,39844
metis,14776,38662
metis,14804,39553
metis,14806,38863
metis,14924,39138
metis,14897,39912
grid,15075,42264
grid,14940,42205
grid,14848,42224
grid,14705,42096
grid,14924,42117
grid,14826,42111
grid,14849,42139
grid,14617,42043
metis_unweighted,14852,38488
metis_unweighted,14843,38687
metis_unweighted,14843,37660
metis_unweighted,14844,38713
metis_unweighted,14844,38879
metis_unweighted,14843,38809
metis_unweighted,14870,38616
metis_unweighted,14845,38692
metis,14849,32963
metis,14496,33247
metis,14247,33122
metis,14712,33447
metis,14156,33177
metis,14509,32718
metis,14716,33503
metis,14955,33458
grid,14665,41492
grid,14501,40892
grid,14660,41487
grid,14499,40892
grid,14661,41472
grid,14499,40882
grid,14658,41472
grid,14497,40882
metis_unweighted,14696,33670
metis_unweighted,14154,33078
metis_unweighted,14379,33650
metis_unweighted,15014,33495
metis_unweighted,14258,32301
metis_unweighted,14604,33755
metis_unweighted,14914,33454
metis_unweighted,14621,33575
