method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,56812,16416,0.7110469619094557,19737,62565096,6.586331539667603,2113,1992,2052.0,46.0,61.0,7765,6554,7101.5,404.39430015765555,663.5
spectral,47652,16416,0.6555023923444976,17106,54985298,5.597141188889316,2412,1410,2052.0,382.57940352298107,360.0,6096,5868,5956.5,83.71827757425496,139.5
grid,89133,16416,0.8158257884285282,34763,110681187,11.504003329051752,2058,2046,2052.0,4.06201920231798,6.0,11195,11120,11141.625,24.854262712862756,53.375
metis_unweighted,52568,16416,0.6877187642672348,19143,61197908,6.322341079856213,2113,1993,2052.0,48.60041152089147,61.0,7780,5937,6571.0,624.8799884777876,1209.0
metis,54740,15000,0.7259773474607234,21418,43681405,11.074655160327383,1931,1820,1875.0,29.824486584013478,56.0,7533,5929,6842.5,554.5777673149186,690.5
spectral,47555,15000,0.6845757543896541,18810,38704439,9.619231184063693,2275,1215,1875.0,351.452343853331,400.0,6250,5800,5944.375,147.4668924708187,305.625
grid,85379,15000,0.824312770119116,31309,63925011,16.10307712678455,1898,1856,1875.0,14.221462653327892,23.0,10705,10628,10672.375,23.318112595148005,32.625
metis_unweighted,52562,15000,0.7146227312507134,20884,42996552,10.67828675422084,1931,1820,1875.0,42.78434293056281,56.0,7321,6030,6570.25,423.2669813486519,750.75
metis,73257,18000,0.7542896924525984,23153,42224662,13.178694277455318,2306,2192,2250.0,34.978564864785405,56.0,9324,9037,9157.125,86.70847349019587,166.875
spectral,74860,18000,0.7595511621693829,24400,44330582,13.891485007633008,2280,2200,2250.0,33.166247903554,30.0,9540,9170,9357.5,168.4302526270147,182.5
grid,99353,18000,0.8188278159693215,29334,53074208,16.768895801485346,2268,2236,2250.0,10.012492197250394,18.0,12490,12353,12419.125,38.23753881985607,70.875
metis_unweighted,74581,18000,0.7586516673147317,23605,43406849,13.30974333176702,2317,2184,2250.0,54.258639865002145,67.0,9455,9202,9322.625,77.95020445771775,132.375
metis,95186,18225,0.8085327674237808,23916,81924112,7.323722671333655,2346,2211,2278.125,41.265716702851535,67.875,12583,11517,11898.25,297.08658249742615,684.75
spectral,91565,18225,0.8009610659094633,23908,82274486,7.300717509884566,2294,2267,2278.125,7.833222516946649,15.875,11524,11330,11445.625,59.09512987548128,78.375
grid,100846,18225,0.8192789005017551,30378,105565175,9.143113882244112,2300,2251,2278.125,15.791116964926832,21.875,12906,12400,12605.75,157.56169426608741,300.25
metis_unweighted,93885,18225,0.8058795334718006,23609,81885555,7.095932323042536,2337,2212,2278.125,42.022129586683256,58.875,12070,11263,11735.625,230.96479033610296,334.375
metis,85978,17280,0.799018353532299,24997,63488218,10.505885191378805,2224,2105,2160.0,52.461890930464946,64.0,11001,10464,10747.25,161.67695414003816,253.75
spectral,83602,17280,0.793306380230138,24496,62576363,10.214283074575183,2181,2138,2160.0,14.560219778561036,21.0,10519,10374,10450.25,42.248520684161235,68.75
grid,106208,17280,0.8373003916842422,37311,99756958,14.219872324123868,2178,2143,2160.0,11.916375287812984,18.0,13304,13256,13276.0,15.182226450688976,28.0
metis_unweighted,84145,17280,0.7946402044090558,24460,63147027,10.026346857862118,2169,2149,2160.0,7.14142842854285,9.0,10620,10416,10518.125,75.35986581065548,101.875
metis,51482,17576,0.6585991220232315,20129,32712612,12.704493354026297,2263,2132,2197.0,46.32763753959401,66.0,6583,6342,6435.25,71.41734733242338,147.75
spectral,52975,17576,0.6682208588957055,19275,31367895,12.25273222004057,2619,1185,2197.0,411.2772787305421,422.0,6974,6422,6621.875,187.57227773581042,352.125
grid,94829,17576,0.8146558542218097,30524,50102157,19.291472573431676,2457,1912,2197.0,185.56467875110283,260.0,12227,11348,11853.625,268.63820349123836,373.375
metis_unweighted,53980,17576,0.6743979251574658,20292,33068041,12.845689641636051,2262,2132,2197.0,56.233886580957574,65.0,7914,6285,6747.5,649.7370622028576,1166.5
metis,90072,16038,0.8219424460431655,24394,40144783,15.476461677236744,2063,1946,2004.75,42.93235959040686,58.25,11401,11081,11259.0,118.5485132762111,142.0
